연번,행정동명,시설명,도로명주소,지번주소,건물층수,위도,경도,관리기관명,담당부서명,관리기관전화번호,데이터기준일자
1,금호읍,교대1리경로당,경상북도 영천시 금호읍 교대2길 9,경상북도 영천시 금호읍 교대리 185-19,2,35.9328553,128.8759029,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
2,금호읍,교대2리경로당,경상북도 영천시 금호읍 교대용대길 7-2,경상북도 영천시 금호읍 교대리 88-1,2,35.9337543,128.8716295,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
3,금호읍,우방타운경로당,경상북도 영천시 금호읍 덕성길 20,경상북도 영천시 금호읍 교대리 410,1,35.9327349,128.869526,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
4,금호읍,덕성리경로당,경상북도 영천시 금호읍 금호로 56-40,경상북도 영천시 금호읍 덕성리 232,2,35.9295355,128.8676315,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
5,금호읍,태성맨션경로당,경상북도 영천시 금호읍 금호로 88(지하사무실),경상북도 영천시 금호읍 덕성리 101-4,1,35.9308584,128.8717562,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
6,금호읍,금호읍분회경로당,경상북도 영천시 금호읍 금호로 102-6,경상북도 영천시 금호읍 덕성리 100-5,1,35.9310387,128.8728652,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
7,금호읍,성천리경로당,경상북도 영천시 금호읍 성천안길 12,경상북도 영천시 금호읍 성천리 252-1,1,35.9446431,128.8723321,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
8,금호읍,대미1리경로당,경상북도 영천시 금호읍 대동마을길 191-4,경상북도 영천시 금호읍 대미리 531-1,1,35.962068,128.8815312,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
9,금호읍,대미2리경로당,경상북도 영천시 금호읍 미동길 5-10,경상북도 영천시 금호읍 대미리 965-2,1,35.9471093,128.8805559,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
10,금호읍,석섬리경로당,경상북도 영천시 금호읍 돌섬2길 80-1,경상북도 영천시 금호읍 석섬리 92,1,35.9514552,128.8913174,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
11,금호읍,원제리경로당,경상북도 영천시 금호읍 원제1길 27,경상북도 영천시 금호읍 원제리 432,1,35.9422922,128.8963528,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
12,금호읍,윤성모닝타운경로당,경상북도 영천시 금호읍 원제2길 16-8,경상북도 영천시 금호읍 원제리 20,2,35.9428316,128.899787,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
13,금호읍,냉천1리경로당,경상북도 영천시 금호읍 거여로 77-3,경상북도 영천시 금호읍 냉천리 225-4,2,35.933176,128.8858704,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
14,금호읍,냉천2리경로당,경상북도 영천시 금호읍 금호로 190-12,경상북도 영천시 금호읍 냉천리 431,2,35.9334542,128.8830963,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
15,금호읍,신월리경로당,경상북도 영천시 금호읍 신월안길 1-1,경상북도 영천시 금호읍 신월리 524-1,2,35.9352211,128.9036372,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
16,금호읍,봉죽1리경로당,경상북도 영천시 금호읍 봉일길 50-3,경상북도 영천시 금호읍 봉죽리 369,2,35.9361286,128.9118719,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
17,금호읍,관정1리경로당,경상북도 영천시 금호읍 관황길 31-1,경상북도 영천시 금호읍 관정리 173-2,1,35.9284497,128.9107942,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
18,금호읍,관정2리경로당,경상북도 영천시 금호읍 관황길 6,경상북도 영천시 금호읍 관정리 261-1,1,35.9287792,128.907981,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
19,금호읍,황정리경로당,경상북도 영천시 금호읍 관황길 49-4,경상북도 영천시 금호읍 황정리 412-1,1,35.9275615,128.9127476,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
20,금호읍,구암리경로당,경상북도 영천시 금호읍 구암길 135-6,경상북도 영천시 금호읍 구암리 1131-2,2,35.9089284,128.9368336,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
21,금호읍,구암리새못밑경로당,경상북도 영천시 금호읍 칠백로 604-6,경상북도 영천시 금호읍 구암리 958-1,1,35.9151625,128.929773,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
22,금호읍,약남1리경로당,경상북도 영천시 금호읍 칠백로 487-15,경상북도 영천시 금호읍 약남리 528,1,35.9052566,128.9271955,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
23,금호읍,약남2리경로당,경상북도 영천시 금호읍 가야길 92,경상북도 영천시 금호읍 약남리 238-3,1,35.9003854,128.9308807,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
24,금호읍,대곡1리경로당,경상북도 영천시 금호읍 대곡길 31-6,경상북도 영천시 금호읍 대곡리 687,1,35.8920444,128.9203092,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
25,금호읍,대곡2리경로당,경상북도 영천시 금호읍 대배길 50,경상북도 영천시 금호읍 대곡리 403-1,1,35.8957585,128.9237196,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
26,금호읍,호남리경로당,경상북도 영천시 금호읍 대승지길 44,경상북도 영천시 금호읍 호남리 200-2,1,35.8993732,128.9151788,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
27,금호읍,어은리경로당,경상북도 영천시 금호읍 어은길 160,경상북도 영천시 금호읍 어은리 202-2,1,35.9177645,128.8990133,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
28,금호읍,오계1리경로당,경상북도 영천시 금호읍 종동길 12-1,경상북도 영천시 금호읍 오계리 259-3,1,35.9056676,128.8896637,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
29,금호읍,오계2리경로당,경상북도 영천시 금호읍 사근달길 75-1,경상북도 영천시 금호읍 오계리 546-2,2,35.9027495,128.8960507,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
30,금호읍,원기리경로당,경상북도 영천시 금호읍 창산길 142-5,경상북도 영천시 금호읍 원기리 395,1,35.9071687,128.8844814,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
31,금호읍,신대리경로당,경상북도 영천시 금호읍 신대길 28,경상북도 영천시 금호읍 신대리 64-1,1,35.9102985,128.868721,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
32,금호읍,남성리경로당,경상북도 영천시 금호읍 남성길 83-4,경상북도 영천시 금호읍 남성리 304-3,1,35.9023031,128.8735787,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
33,금호읍,삼호1리경로당,경상북도 영천시 금호읍 창산길 89,경상북도 영천시 금호읍 삼호리 727-2,1,35.9090028,128.8791973,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
34,금호읍,삼호2리경로당,경상북도 영천시 금호읍 대구대길 106,경상북도 영천시 금호읍 신대리 308-5,2,35.9215329,128.8702433,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
35,금호읍,부향마을 경로당,경상북도 영천시 금호읍 돌섬1길 11-99,경상북도 영천시 금호읍 대미리 1138,1,35.9531984,128.882586,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
36,청통면,청통면 분회 경로당,경상북도 영천시 청통면 청통초등길 13,경상북도 영천시 청통면 치일리 13,2,35.9917564,128.8234162,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
37,청통면,호당2리 경로당,경상북도 영천시 청통면 방아지길 1,경상북도 영천시 청통면 호당리 638-4,2,35.9963214,128.8952635,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
38,청통면,대평리 경로당,경상북도 영천시 청통면 대평길 22,경상북도 영천시 청통면 대평리 693-6,2,35.9657721,128.8648314,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
39,청통면,송천리 경로당,경상북도 영천시 청통면 관방길 35,경상북도 영천시 청통면 송천리 379-2,1,35.9734337,128.8191456,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
40,청통면,치일1리 경로당,경상북도 영천시 청통면 치일길 4,경상북도 영천시 청통면 치일리 590-1,1,35.9909802,128.7985082,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
41,청통면,애련리 경로당,경상북도 영천시 청통면 애련길 233,경상북도 영천시 청통면 애련리 198-1,1,36.0031013,128.798291,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
42,청통면,계지1리 경로당,경상북도 영천시 청통면 망지1길 9,경상북도 영천시 청통면 계지리 120,1,36.0092584,128.8232854,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
43,청통면,신원리 경로당,경상북도 영천시 청통면 거조길 328,경상북도 영천시 청통면 신원리 422-3,1,36.0177489,128.7771625,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
44,청통면,신학1리 경로당,경상북도 영천시 청통면 청통로 632,경상북도 영천시 청통면 신학리 566-3,1,35.9953079,128.8258532,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
45,청통면,호당1리 경로당,경상북도 영천시 청통면 호당1길 55,경상북도 영천시 청통면 호당리 342,1,35.9918398,128.8895058,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
46,청통면,신덕1리 경로당,경상북도 영천시 청통면 덕동길 40,경상북도 영천시 청통면 신덕리 221,1,35.9716086,128.8639881,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
47,청통면,신덕2리 경로당,경상북도 영천시 청통면 성골길 111-29,경상북도 영천시 청통면 신덕리 729-2,1,35.9724836,128.8548204,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
48,청통면,원촌1리 경로당,경상북도 영천시 청통면 창마길 16,경상북도 영천시 청통면 원촌리 516-125,2,35.9845431,128.8258253,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
49,청통면,용천리 경로당,경상북도 영천시 청통면 용호길 28,경상북도 영천시 청통면 용천리 391,1,36.0223677,128.828755,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
50,청통면,죽정리 경로당,경상북도 영천시 청통면 구정길 123-1,경상북도 영천시 청통면 죽정리 36,1,35.9766943,128.8326682,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
51,청통면,원촌2리 경로당,경상북도 영천시 청통면 오천길 20,경상북도 영천시 청통면 원촌리 289-1,1,35.988308,128.8218533,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
52,청통면,보성리 경로당,경상북도 영천시 청통면 청통로 373,경상북도 영천시 청통면 보성리 145-1,1,35.9898412,128.8523271,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
53,청통면,치일2리 경로당,경상북도 영천시 청통면 부흥길 29,경상북도 영천시 청통면 치일리 583-16,1,35.9909828,128.8207,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
54,청통면,우천2리 경로당,경상북도 영천시 청통면 청통로 167-5,경상북도 영천시 청통면 우천리 337,1,35.9897775,128.8740763,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
55,청통면,계포리 경로당,경상북도 영천시 청통면 금송로 1173,경상북도 영천시 청통면 계포리 13,1,36.006154,128.812245,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
56,청통면,계지2리 경로당,경상북도 영천시 청통면 거조길 35,경상북도 영천시 청통면 계지리 743-6,1,36.0109937,128.8057153,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
57,청통면,우천1리 경로당,경상북도 영천시 청통면 청통로 236,경상북도 영천시 청통면 우천리 730,1,35.9880887,128.8672219,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
58,청통면,신학2리 경로당,경상북도 영천시 청통면 새학길 61(신학리 124-3),경상북도 영천시 청통면 신학리 124-2,1,35.9919514,128.8287361,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
59,신녕면,신녕분회경로당,경상북도 영천시 신녕면 치산효령로 15-9,경상북도 영천시 신녕면 화성리 939,1,36.0427851,128.78622,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
60,신녕면,신녕부녀경로당,경상북도 영천시 신녕면 본관시장길 34,경상북도 영천시 신녕면 화성리 903-9,2,36.0431775,128.7869996,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
61,신녕면,치산1리경로당,경상북도 영천시 신녕면 신암길 39,경상북도 영천시 신녕면 치산리 1416,1,36.045323,128.7118,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
62,신녕면,치산2리경로당,경상북도 영천시 신녕면 치산안길 52,경상북도 영천시 신녕면 치산리 1049,1,36.0568219,128.714169,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
63,신녕면,치산3리경로당,경상북도 영천시 신녕면 동지안길 4,경상북도 영천시 신녕면 치산리 744,1,36.0673848,128.7200637,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
64,신녕면,부산1리경로당,경상북도 영천시 신녕면 부산직동길 61,경상북도 영천시 신녕면 부산리 391-1,1,36.0552337,128.7452895,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
65,신녕면,부산2리경로당,경상북도 영천시 신녕면 도근리길 5,경상북도 영천시 신녕면 부산리 716,1,36.0683629,128.7370719,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
66,신녕면,화서리경로당,경상북도 영천시 신녕면 화정길 25-2,경상북도 영천시 신녕면 화서리 731-4,1,36.090812,128.7300025,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
67,신녕면,화남1리경로당,경상북도 영천시 신녕면 권응수길 49,경상북도 영천시 신녕면 화남리 584-3,1,36.0785669,128.7606281,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
68,신녕면,화남2리경로당,경상북도 영천시 신녕면 원낙길 98-4,경상북도 영천시 신녕면 화남리 1205,1,36.0716067,128.7533006,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
69,신녕면,화남3리경로당,경상북도 영천시 신녕면 화해길 16,경상북도 영천시 신녕면 화남리 955-1,1,36.0660427,128.7651776,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
70,신녕면,왕산1리경로당,경상북도 영천시 신녕면 왕산대길 24,경상북도 영천시 신녕면 왕산리 171,1,36.0447176,128.7810975,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
71,신녕면,왕산2리경로당,경상북도 영천시 신녕면 왕산중앙길 22,경상북도 영천시 신녕면 왕산리 107,2,36.0451135,128.783543,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
72,신녕면,매양1리경로당,경상북도 영천시 신녕면 찰방길 24,경상북도 영천시 신녕면 매양리 286-2,1,36.0417849,128.7815114,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
73,신녕면,매양2리경로당,경상북도 영천시 신녕면 매양안길 28-6,경상북도 영천시 신녕면 화성리 485-1,1,36.0468265,128.7904652,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
74,신녕면,화성1리경로당,경상북도 영천시 신녕면 큰골길 14,경상북도 영천시 신녕면 화성리 414-3,1,36.0443035,128.7901048,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
75,신녕면,화성2리경로당,경상북도 영천시 신녕면 화성중앙길 24-9,경상북도 영천시 신녕면 화성리 872,2,36.0431411,128.7881534,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
76,신녕면,화성3리경로당,경상북도 영천시 신녕면 화성중앙길 5,경상북도 영천시 신녕면 화성리 935-1,2,36.0437381,128.7860374,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
77,신녕면,화성4리경로당,경상북도 영천시 신녕면 치산효령로 14,경상북도 영천시 신녕면 화성리 1003-17,1,36.0449733,128.7883004,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
78,신녕면,화성5리경로당,경상북도 영천시 신녕면 장수로 1720-10,경상북도 영천시 신녕면 완전리 853-4,1,36.0393805,128.7882224,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
79,신녕면,완전1리경로당,경상북도 영천시 신녕면 장수로 1653-1,경상북도 영천시 신녕면 완전리 853-58,1,36.0379973,128.7885893,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
80,신녕면,완전2리경로당,경상북도 영천시 신녕면 장수로 1637,경상북도 영천시 신녕면 신덕리 749-22,1,36.0217005,128.8035022,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
81,신녕면,신덕1리경로당,경상북도 영천시 신녕면 신단본길 14,경상북도 영천시 신녕면 신덕리 223-1,1,36.0320662,128.8072536,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
82,신녕면,신덕2리경로당,경상북도 영천시 신녕면 신정길 27-4,경상북도 영천시 신녕면 연정리 345,1,36.0518592,128.8143081,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
83,신녕면,연정1리경로당,경상북도 영천시 신녕면 연정큰길 57,경상북도 영천시 신녕면 연정리 546-3,1,36.0447558,128.8071701,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
84,신녕면,연정2리경로당,경상북도 영천시 신녕면 신정길 177,경상북도 영천시 신녕면 가천리 183-1,2,36.054381,128.7914265,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
85,신녕면,가천리경로당,경상북도 영천시 신녕면 큰골길 101,경상북도 영천시 화산면 유성리 502-9,2,36.018292,128.8561058,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
86,화산면,화산면 분회 경로당,경상북도 영천시 화산면 장수로 921,경상북도 영천시 화산면 유성리 600-1,1,36.0190621,128.8555417,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
87,화산면,화산부녀 경로당,경상북도 영천시 화산면 장수로 926-7,경상북도 영천시 화산면 연계리 219-1,2,36.0240257,128.8477601,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
88,화산면,연계1리 경로당,경상북도 영천시 화산면 연유길 66-34,경상북도 영천시 화산면 연계리 270,1,36.0206938,128.8456997,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
89,화산면,연계2리 경로당,경상북도 영천시 화산면 율전길 32-4,경상북도 영천시 화산면 덕암리 548-84,1,36.0315758,128.8319239,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
90,화산면,덕암1리 경로당,경상북도 영천시 화산면 덕암길 12-5,경상북도 영천시 화산면 덕암리 239,1,36.0361358,128.833805,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
91,화산면,덕암2리 경로당,경상북도 영천시 화산면 덕암2길 6,경상북도 영천시 화산면 대안리 261-1,1,36.0275533,128.826862,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
92,화산면,대안1리 경로당,경상북도 영천시 화산면 대안1길 45,경상북도 영천시 화산면 대안리 1014-4,2,36.0298859,128.8160525,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
93,화산면,대안2리 경로당,경상북도 영천시 화산면 대안2길 81-25,경상북도 영천시 화산면 대안리 1206-7,2,36.0307608,128.8083666,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
94,화산면,대안3리 경로당,경상북도 영천시 화산면 신정길 12,경상북도 영천시 화산면 효정리 494-4,1,36.0499684,128.8331884,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
95,화산면,효정1리 경로당,경상북도 영천시 화산면 옛서당길 74,경상북도 영천시 화산면 효정리 446,1,36.0500714,128.831336,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
96,화산면,효정2리 경로당,경상북도 영천시 화산면 효자문안길 11-6,경상북도 영천시 화산면 당지리 109,1,36.0571732,128.8397675,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
97,화산면,당지1리 경로당,경상북도 영천시 화산면 섭재골길 24,경상북도 영천시 화산면 당지리 517-2,1,36.0728739,128.8368648,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
98,화산면,당지2리 경로당,경상북도 영천시 화산면 산성길 10,경상북도 영천시 화산면 화산리 1092,2,36.0574346,128.8553186,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
99,화산면,화산1리 경로당,경상북도 영천시 화산면 화촌길 65,경상북도 영천시 화산면 화산리 239-2,1,36.0462633,128.8684932,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
100,화산면,화산2리 경로당,경상북도 영천시 화산면 효지길 98-14,경상북도 영천시 화산면 가상리 680,2,36.0335398,128.8880825,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
101,화산면,가상리 경로당,경상북도 영천시 화산면 가래실로 390,경상북도 영천시 화산면 대기리 792,1,36.0114379,128.8949796,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
102,화산면,대기리 경로당,경상북도 영천시 화산면 대암길 112-1,경상북도 영천시 화산면 암기리 544-1,1,36.0148742,128.8871342,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
103,화산면,암기리 경로당,경상북도 영천시 화산면 가래실로 162,경상북도 영천시 화산면 삼부리 157-1,3,36.0021896,128.8833551,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
104,화산면,삼부리 경로당,경상북도 영천시 화산면 장수로 577-25,경상북도 영천시 화산면 석촌리 47-10,1,36.0099625,128.8721016,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
105,화산면,석촌리 경로당,경상북도 영천시 화산면 석촌2길 60,경상북도 영천시 화산면 당곡리 279,1,36.0214328,128.867414,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
