체육시설명,도로명주소,지번주소,위도,경도
오류리 동네체육시설,경상북도 영천시 고경면 거곡로 591,경상북도 영천시 고경면 오류리 374-4 오류리회관,35.95975341,129.0266205
용전1리 동네체육시설,경상북도 영천시 고경면 추곡길 151,경상북도 영천시 고경면 용전리 744 용전1리회관,35.98855089,129.0169133
창하리 동네체육시설,,경상북도 영천시 고경면 창하리 649-2,35.9863125,128.981642
33통 체육시설,경상북도 영천시 모란1길 16 (야사동),경상북도 영천시 야사동 350-1 청구타운,35.97663591,128.9408061
유성타워맨션 내 체육시설,"경상북도 영천시 영천고1길 76 (야사동, 유성타워맨션)",경상북도 영천시 야사동 211-4 유성타워맨션,35.97092756,128.9457941
창신아파트 내 체육시설,"경상북도 영천시 창신1길 21 (망정동, 창신타운)",경상북도 영천시 망정동 471 창신타운,35.98735414,128.9553612
청솔아파트 내 체육시설,"경상북도 영천시 창신1길 22 (망정동, 청솔아파트)",경상북도 영천시 망정동 462 청솔아파트,35.98889721,128.9551248
언하공단 산책로 체육시설,,경상북도 영천시 조교동 470,35.98372082,128.9611392
문외동 등산로,,경상북도 영천시 문외동 산 4,35.97640964,128.9351705
오미동 등산로,,경상북도 영천시 오미동 산 123,35.99170474,128.9351295
금노2공원,경상북도 영천시 담안1길 21 (금노동),경상북도 영천시 금노동 556-4,35.96193912,128.9276828
망정제3공원,,경상북도 영천시 망정동 417-5,35.98749178,128.9561835
문내외제1공원,,경상북도 영천시 문내동 13-1,35.97429354,128.9314533
문외공원,경상북도 영천시 청산1길 19 (문외동),경상북도 영천시 문외동 5-4,35.97410699,128.9368841
문화1공원,"경상북도 영천시 영천고2길 9 (야사동, 문화아파트)",경상북도 영천시 야사동 186 문화아파트,35.9720908,128.9468613
문화2공원,"경상북도 영천시 문화새길 25 (야사동, 문화아파트상가)",경상북도 영천시 야사동 187-2 문화아파트상가,35.97365985,128.9467581
봉동공원,,경상북도 영천시 도남동 76,35.9328751,128.9412285
야사공원,경상북도 영천시 상록4길 66 (야사동),경상북도 영천시 야사동 334-35,35.97415977,128.9427946
완산2공원,,경상북도 영천시 완산동 1465,35.96698627,128.9415562
완산근린공원,,경상북도 영천시 완산동 742-6,35.96274435,128.9423039
주남공원,경상북도 영천시 담안7길 22-4 (금노동),경상북도 영천시 금노동 604-32,35.9589905,128.9313509
중앙공원,경상북도 영천시 문외1길 34-7 (문외동),경상북도 영천시 문외동 153-5,35.97085841,128.9350828
채신2공원,,경상북도 영천시 채신동 765-1,35.91098838,128.9564573
채신3공원,경상북도 영천시 영천산단로 25 (채신동),경상북도 영천시 채신동 769-1,35.90741695,128.9567466
효1리 경로당,경상북도 영천시 임고면 운주로 355-1,경상북도 영천시 임고면 효리 863-5 효1리 경로당,36.03241314,129.0076355
고천리 마을쉼터,경상북도 영천시 임고면 우항리 850-1,경상북도 영천시 임고면 우항리 850-1,36.01593449,128.9863918
양항1리 경로당,경상북도 영천시 임고면 양항3길 8,경상북도 영천시 임고면 양항리 276-8 양항1리경로당,36.00980015,128.9738691
오동리 동네체육시설,경상북도 영천시 화북면 공덕길 4,경상북도 영천시 화북면 공덕리 375,36.09059814,128.9481718
자천2리 동네체육시설(가동보),경상북도 영천시 화북면 자천리 2459-14,경상북도 영천시 화북면 자천리 2459-14,36.10767905,128.9178785
횡계리 동네체육시설,경상북도 영천시 화북면 화북길 93,경상북도 영천시 화북면 자천리 1470,36.10806124,128.9197488
공덕리 동네체육시설,경상북도 영천시 화북면 공덕길 33-3,경상북도 영천시 화북면 공덕리 703 공덕리마을회관,36.09120402,128.9456362
별빛문화센터 체육시설,경상북도 영천시 화북면 정각길 71-39,경상북도 영천시 화북면 정각리 206 별빛문화센터,36.14427999,128.9933654
살미산 등산로 체육시설,,경상북도 영천시 화북면 자천리 산 240,36.11356734,128.918658
상송리 동네체육시설,경상북도 영천시 화북면 화북길 93 화북면 상송리 442,경상북도 영천시 화북면 자천리 1470 화북면 상송리 442,36.10806124,128.9197488
오산1리 동네체육시설,경상북도 영천시 화북면 오공길 210,경상북도 영천시 화북면 오산리 814,36.08017811,128.9264849
은하수마을 동네체육시설,경상북도 영천시 화북면 은하수길 92 입석리 401-11,경상북도 영천시 화북면 입석리 401-12 입석리 401-11,36.13295118,128.9535036
자천2리 동네체육시설(동송보),,경상북도 영천시 화북면 자천리 2459-9,36.10914906,128.9212721
채신1공원,경상북도 영천시 채신동 749-6,경상북도 영천시 채신동 749-6,35.91642748,128.9536532
하송리 동네체육시설,경상북도 영천시 화북면 화북길 93,경상북도 영천시 화북면 하송리 110-2,36.10806124,128.9197488
강변공원1,,경상북도 영천시 문외동 317,35.9703754,128.9380707
강변공원2,,경상북도 영천시 과전동 143,35.96539043,128.9312488
도림1경로당,경상북도 영천시 직동길 117-14 (도림동),경상북도 영천시 도림동 1169-1,36.00858062,128.9311582
도림2경로당,경상북도 영천시 토골길 30 (도림동),경상북도 영천시 도림동 698,36.0187936,128.9309679
매산2경로당,경상북도 영천시 갈마일길 119-4 (매산동),경상북도 영천시 매산동 772-1 매산2동노인,36.01832341,128.9183262
매산숲공원,,경상북도 영천시 매산동 1492-39,36.03614009,128.9185333
문내1공원,,경상북도 영천시 문내동 13-1,35.97429354,128.9314533
문내주공아파트,경상북도 영천시 중앙동2길 121 (문내동),경상북도 영천시 문내동 207 영천문내주공아파트,35.97268814,128.9304365
문외공원,경상북도 영천시 청산1길 19 (문외동),경상북도 영천시 문외동 5-4,35.97410699,128.9368841
중부교회앞 소공원,경상북도 영천시 문내1길 19-7 (문내동),경상북도 영천시 문내동 58-1,35.97073447,128.93364
중앙공원,경상북도 영천시 옛군청3길 16 (문내동),경상북도 영천시 문내동 155-1,35.9681692,128.9320464
가수1리 동네체육시설,,경상북도 영천시 고경면 가수리 194,36.00236451,129.0800587
대성리 동네체육시설,경상북도 영천시 고경면 대죽길 6,경상북도 영천시 고경면 대성리 149,35.9603984,128.9982822
동도리 동네체육시설,,경상북도 영천시 고경면 동도리 410,36.00140764,129.0610679
부리 동네체육시설,,경상북도 영천시 고경면 부리 531,35.97380092,129.0447426
용전2리 동네체육시설,,경상북도 영천시 고경면 용전리 1260-2,35.98452627,129.0280507
칠전리 동네체육시설,경상북도 영천시 고경면 칠전길 114,경상북도 영천시 고경면 칠전리 84-1 칠전경로당,35.94977893,129.0935738
해선리 동네체육시설,,경상북도 영천시 고경면 해선리 211-10,36.00279155,129.0451254
삼매1리 마을회관,경상북도 영천시 임고면 삼매반곡길 3,경상북도 영천시 임고면 삼매리 796 삼매1리경로당,36.06003229,128.9963553
선원2리 공원,,경상북도 영천시 임고면 선원리 909-165,36.02903062,128.9742059
평천1리 마을쉼터,경상북도 영천시 임고면 포은로 736,경상북도 영천시 임고면 평천리 799,36.04052294,128.9806952
대전동 마을쉼터,,경상북도 영천시 대전동 764-4,35.982858,128.9100522
마현산 공원,경상북도 영천시 사직단길 30 (교촌동),경상북도 영천시 교촌동 11-50,35.97010644,128.9286322
봉화산 등산로 공원,,경상북도 영천시 쌍계동 산 33-1,35.96617841,128.9012793
사모산 정상 공원,,경상북도 영천시 쌍계동 산 1,35.97185428,128.9063555
삼산마을쉼터,,경상북도 영천시 서산동 산 33-7,35.97892208,128.8989516
성내동 마을쉼터,,경상북도 영천시 성내동 243-10,35.96035601,128.9214339
성내동 희망마을 공원,,경상북도 영천시 성내동 117-2,35.96551004,128.9274474
숭렬당 공원,경상북도 영천시 성내3길 14 (성내동),경상북도 영천시 성내동 172-15,35.96354815,128.9259056
영천향교 전통공원,,경상북도 영천시 교촌동 79,35.96905074,128.9287861
오수동 공원,경상북도 영천시 오수1길 29-2 (오수동),경상북도 영천시 오수동 97,35.95865592,128.9151174
유봉산 정상 공원,,경상북도 영천시 오수동 산 6-2,35.95283287,128.9140303
유정숲 공원,,경상북도 영천시 성내동 247-7,35.95904892,128.921463
화룡동 마을쉼터,,경상북도 영천시 화룡동 294-4,35.96595542,128.9199469
"망정주공 1,2단지 체육시설","경상북도 영천시 동부로 40 (망정동, 주공아파트)",경상북도 영천시 망정동 129 주공아파트,35.97339938,128.9500592
문화아파트 1공원 체육시설,,경상북도 영천시 야사동 186-2,35.97356352,128.9464021
문화아파트 2공원 체육시설,,경상북도 영천시 야사동 186-5,35.97409277,128.9467189
안야사 동네 체육시설,경상북도 영천시 안야사2길 4 (야사동),경상북도 영천시 야사동 428,35.97978782,128.9468536
야사 어린이공원 내 체육시설,,경상북도 영천시 야사동 334-39,35.97409494,128.9430156
야사 주공3차 체육시설,"경상북도 영천시 충효로 147 (야사동, 주공아파트)",경상북도 영천시 야사동 120 주공아파트,35.97682603,128.9441348
야사2차 주공아파트 내 체육시설,"경상북도 영천시 상록4길 25 (야사동, 주공아파트)",경상북도 영천시 야사동 311 주공아파트,35.97445788,128.9404143
야사주공 등산로 체육시설,,경상북도 영천시 야사동 산 40-2 야사동 산40번지,35.98110242,128.9401495
언하 새미 체육시설,,경상북도 영천시 언하동 152,35.98686062,128.969672
우로지 새천년의 숲 체육시설,,경상북도 영천시 망정동 8-19,35.98440356,128.9580425
전경대 뒷산 등산로 체육시설,,경상북도 영천시 망정동 산 9-1,35.99609206,128.9445643
조교강변체육공원 내 체육시설,,경상북도 영천시 조교동 883-104,35.97743925,128.9666958
창신아파트 등산로 체육시설,,경상북도 영천시 신기동 산 37,35.99711174,128.9512423
청구아파트 등산로 체육시설(2차),,경상북도 영천시 야사동 산 42 야사동 산42-4,35.97868914,128.9387236
청호아파트 내 체육시설,"경상북도 영천시 망정2길 7-5 (망정동, 청호아파트)",경상북도 영천시 망정동 177-1 청호아파트,35.97610588,128.9497257
보현2리 소공원 체육시설,,경상북도 영천시 자양면 보현리 1163,36.13529339,129.0339051
보현3리 절골경로당앞 체육시설,경상북도 영천시 자양면 사곡길 75,경상북도 영천시 자양면 보현리 1743 2776번지선,36.14470937,129.0310176
신방1리 소공원 체육시설,경상북도 영천시 자양면 신방로 641,경상북도 영천시 자양면 신방리 산5 817-1,36.06703075,129.073983
매호1리 경로당,경상북도 영천시 임고면 매호운천길 10 매호1리 경로당,경상북도 영천시 임고면 매호리 728 매호1리 경로당,35.99773461,128.9668772
평천2리 마을쉼터,,경상북도 영천시 임고면 평천리 387-7,36.03169412,128.9835482
황강리 전원마을,,경상북도 영천시 임고면 황강리 440,36.02889241,128.9943093
고현천소공원,경상북도 영천시 화남면 천문로 1606-1,경상북도 영천시 화남면 삼창리 1187-34 고현천 소공원(삼창리1187번지선),36.06072678,128.8923346
귀호2리 경로당,경상북도 영천시 화남면 귀호리 71,경상북도 영천시 화남면 귀호리 71 귀호리 71,36.0533266,128.879032
금호1리 소공원,경상북도 영천시 화남면 금호1길 14,경상북도 영천시 화남면 금호리 1130-1 (1131-1번지선),36.06753234,128.9030242
사천1리(중동)소공원,경상북도 영천시 화남면 천문로 1187,경상북도 영천시 화남면 사천리 669 (668번지선),36.03673466,128.9209149
신호1리 경로당,경상북도 영천시 화남면 신흥길 7-1,경상북도 영천시 화남면 신호리 658,36.03393243,128.9336208
월곡1리 경로당,경상북도 영천시 화남면 월령길 178,경상북도 영천시 화남면 월곡리 642-2 월곡리마을회관,36.1019875,128.8813293
석촌리 체육시설,,경상북도 영천시 화산면,36.03058596,128.8568423
유성2리 동네체육시설,,경상북도 영천시 화산면,36.03058596,128.8568423
동신A 옆 동네체육시설,,경상북도 영천시 완산동,35.96218031,128.9441154
담안공원,,경상북도 영천시 남부동,35.93405719,128.9467726
대창리 간이족구장,경상북도 영천시 대창면 금창로 701,경상북도 영천시 대창면 대재리 862-8,35.87400323,128.89776911
고지리 체육시설,,경상북도 영천시 북안면,35.90276705,129.0018994
교대리 동네체육시설,,경상북도 영천시 금호읍,35.92284105,128.8944927
당1리 체육시설,,경상북도 영천시 북안면,35.90276705,129.0018994
대미리 동네체육시설,,경상북도 영천시 금호읍,35.92284105,128.8944927
도천1리 체육시설,,경상북도 영천시 북안면,35.90276705,129.0018994
면사무소 소공원 체육시설,,경상북도 영천시 자양면,36.10456555,129.0478397
명주경로당 앞 체육시설,,경상북도 영천시 북안면,35.90276705,129.0018994
명주원곡경로당 건강관리실,,경상북도 영천시 북안면,35.90276705,129.0018994
반정1리 체육시설,,경상북도 영천시 북안면,35.90276705,129.0018994
보현 보건진료소 체육시설,,경상북도 영천시 자양면,36.10456555,129.0478397
보현리 복지회관 좌측 체육시설,,경상북도 영천시 자양면,36.10456555,129.0478397
봉화산 등산로 체육시설,,경상북도 영천시 청통면,35.99078535,128.8351287
북안종합복지회관 체력단련실,,경상북도 영천시 북안면,35.90276705,129.0018994
상리 체육시설,,경상북도 영천시 북안면,35.90276705,129.0018994
서당리 체육시설,,경상북도 영천시 북안면,35.90276705,129.0018994
석섬리 동네체육시설,,경상북도 영천시 금호읍,35.92284105,128.8944927
소도읍 동네체육시설,,경상북도 영천시 금호읍,35.92284105,128.8944927
신방2리 경로당 체육시설,,경상북도 영천시 자양면,36.10456555,129.0478397
신월리 동네체육시설,,경상북도 영천시 금호읍,35.92284105,128.8944927
연계1리 동네체육시설,,경상북도 영천시 화산면,36.03058596,128.8568423
연계1리 연계쉼터,,경상북도 영천시 화산면,36.03058596,128.8568423
용산리 소공원 체육시설,,경상북도 영천시 자양면,36.10456555,129.0478397
유성1리 동네체육시설,,경상북도 영천시 화산면,36.03058596,128.8568423
임포2리 경로당 2층 건강관리실,,경상북도 영천시 북안면,35.90276705,129.0018994
임포교회 교육관 앞 체육시설,,경상북도 영천시 북안면,35.90276705,129.0018994
충효3리 소공원 체육시설,,경상북도 영천시 자양면,36.10456555,129.0478397
화산면 게이트볼장,,경상북도 영천시 화산면,36.03058596,128.8568423
화산면 복지회관,,경상북도 영천시 화산면,36.03058596,128.8568423
효정1리 동네체육시설,,경상북도 영천시 화산면,36.03058596,128.8568423
화룡동 마을쉼터,,경상북도 영천시 화룡동 289-2,35.965977,128.919829
덕암2리 동네체육시설,,경상북도 영천시 화산면 덕암리 237,36.03608,128.834065
냉천2리 동네체육시설,경상북도 영천시 금호읍 금호로 190-12,경상북도 영천시 금호읍 냉천리 431,35.93346,128.883133
야사4통 체육시설,경상북도 영천시 야사4길 25 (야사동),경상북도 영천시 야사동 118-1,35.976214,128.946058
용전리 야외운동시설,,경상북도 영천시 대창면 용전리 212-1,35.870997,128.950711
반정1리 동네체육시설,,경상북도 영천시 북안면 반정리 1348-8,35.928711,128.995837
대천2리 경로당,경상북도 영천시 화남면 대천2길 7,경상북도 영천시 화남면 대천리 425-3 대천2리마을회관,36.040726,128.908421
고도2리 동네체육시설,,경상북도 영천시 고경면 고도리 250,35.974387,129.025007
성내철길숲,,경상북도 영천시 성내동 218-2,35.959935,128.923248
범어진옥 야외운동기구,경상북도 영천시 범어2길 3-3 (범어동),경상북도 영천시 범어동 765-1,35.94382,128.959767
담안길공원 야외운동기구,,경상북도 영천시 금노동 542-13,35.961138,128.930284
고지1리 동네체육시설,경상북도 영천시 북안면 팔암길 58,경상북도 영천시 북안면 고지리 682-2 팔암경로당,35.914484,129.006278
효정2리 경로당 동네체육시설,,경상북도 영천시 화산면 효정리 446-2,36.050045,128.831332
화남1리 동네체육시설,경상북도 영천시 신녕면 화남리 663,경상북도 영천시 신녕면 화남리 663 경상북도 영천시 신녕면 화남리 663,36.07713777,128.7607343
도암2리 동네체육시설,경상북도 영천시 고경면 호국로 803,경상북도 영천시 고경면 도암리 130-1 도암2리회관,36.00138804,129.0176219
가천리 동네체육시설,경상북도 영천시 신녕면 큰골길 101,경상북도 영천시 신녕면 가천리 183-1 가천리마을회관,36.05438861,128.7914264
매양2리 동네체육시설(어릿골),,경상북도 영천시 신녕면 매양리 673,36.03038877,128.770492
화성1리 동네체육시설,경상북도 영천시 신녕면 신화로 63-16,경상북도 영천시 신녕면 화성리 998 화성리 469,36.0464726,128.7932004
금호2리 공터,,경상북도 영천시 화남면 금호리 11 금호2리 공터,36.07577696,128.9116118
우로지 메타세콰이어길 체육시설,,경상북도 영천시 신기동 290 메타세콰이어길 공연장 옆,35.99039591,128.9570615
덕암2리 동네체육시설,,경상북도 영천시 화산면 덕암리 237,36.03606439,128.8340648
본촌경로당 야외운동기구,경상북도 영천시 예실큰길 4-15 (본촌동),경상북도 영천시 본촌동 639,35.92524423,128.9522522
사리1리 야외운동시설,경상북도 영천시 대창면 선진길 43,경상북도 영천시 대창면 사리리 146 사리1리복지회관,35.87932746,128.8846221
양항1리 마을쉼터,경상북도 영천시 임고면 양항리 259-8 양항리 259-8,경상북도 영천시 임고면 양항리 259-8 양항리 259-8,36.01007916,128.9728076
용계리 마을회관,경상북도 영천시 화남면 용구길 498,경상북도 영천시 화남면 용계리 255,36.12875573,128.8812513
정각리 1664 동네체육시설,경상북도 영천시 화북면 정각리 1664 팔각정 옆,경상북도 영천시 화북면 정각리 1664 팔각정 옆,36.13738248,128.9893673
정각리 639-2 동네체육시설,경상북도 영천시 화북면 정각길 16,경상북도 영천시 화북면 정각리 639-2,36.13868162,128.9946392
효정2리 경로당 동네체육시설,,경상북도 영천시 화산면 효정리 446-2,36.04983764,128.8312359
