순번,상호,소재지,전화번호,위도,경도
1,신화렌탈,"경상북도 영천시 문화새길 25, E동 1층 6호 (야사동, 문화아파트상가)",,35.97355735,128.94681722
2,럼멜침대영천점,"경상북도 영천시 천문로 134, 1층 (금노동)",054-338-8485,35.95034109,128.93055976
3,코웨이 Best Life 대리점,"경상북도 영천시 문내1길 30, 2층 (문외동)",054-706-7199,35.97139199,128.93380308
4,지에스(GS)25 영천천문로점,"경상북도 영천시 천문로 113, 1층 (도동)",,35.94896381,128.92924871
5,다비치 히어링 보청기 영천점,경상북도 영천시 완산로 74 (완산동),054-332-0023,35.96674221,128.93910594
6,지에스(GS)25 영천금호점,"경상북도 영천시 금호읍 대경로 1260, 1층",,35.93474973,128.87112875
7,이에스에프디,"경상북도 영천시 상록6길 26, 2층 (야사동)",,35.97363079,128.94307473
8,달달(daldal),"경상북도 영천시 망정1길  146-0 , 유호빌리지 101동 102호",054-333-1255,35.98025097,128.95153385
9,마리앤,경상북도 영천시 중앙동1길 24 (문외동),,35.97302927,128.93431031
10,세븐일레븐 영천터미널점,경상북도 영천시 강변로 50-7 (금노동),,35.96058110,128.92846387
11,(주)디오,경상북도 영천시 천문로 134 (금노동),054-338-0979,35.95034109,128.93055976
12,GS25 영천망정행운점,경상북도 영천시 호국로 114 (망정동),,35.97530327,128.94979994
13,디오메디,"경상북도 영천시 천문로 134, 1층 (금노동)",,35.95034109,128.93055976
14,CJ올리브영 영천완산점,경상북도 영천시 완산7길 21 (완산동),,35.96333835,128.93984290
15,더올뷰티하우스,경상북도 영천시 언하공단로 102 (망정동),,35.98602376,128.95250497
16,GS25 영천채신공단점,"경상북도 영천시 영천산단로 347-17, 1층 (채신동)",,35.91540939,128.95001364
17,영의료기기,"경상북도 영천시 금호읍 원제1길 3, 2층",,35.94077317,128.89801611
18,GS25 영천별빛점,경상북도 영천시 호국로 174 (조교동),,35.97645664,128.95618511
19,이마트24 이편한스퀘어점,"경상북도 영천시 완산8길 3, 102-103호 (완산동)",,35.96167260,128.94137456
20,라온코퍼레이션 완산점,"경상북도 영천시 시장로 96, 고은스퀘어 1층 1090호 (완산동)",,35.96300171,128.94077274
21,편한 의료기,경상북도 영천시 약전길 42 (완산동),,35.96130613,128.94134680
22,에스에이치,"경상북도 영천시 여랑길 25, 1층 (매산동)",,36.01806775,128.91701463
23,가나,경상북도 영천시 화북면 별빛로 710-20,,36.13582711,128.99736167
24,썬포스 주식회사,경상북도 영천시 금호읍 금창로 208-31,,35.91430073,128.88280332
25,동운,경상북도 영천시 오미길 107 (오미동),,35.98308570,128.93312227
26,나은,경상북도 영천시 여랑길 25 (매산동),,36.01806775,128.91701463
27,청림,경상북도 영천시 여랑길 21 (매산동),,36.01782067,128.91733339
28,티알에프 코리아,"경상북도 영천시 완산로 20, 101동 107층 (완산동, 윤창BH홈타운)",,35.96196838,128.93955901
29,이안,경상북도 영천시 여랑길 25 (매산동),,36.01806775,128.91701463
30,한마음 메디케어,"경상북도 영천시 장천길 283, 1층 (조교동)",,35.97739494,128.96326793
31,퀸즈 라이프,"대구광역시 달서구 감삼길 15, 2층 (감삼동)",,,
32,예인예가,경상북도 영천시 청통면 계포1길 55,,35.99790113,128.81468692
33,(주)라온코퍼레이션,"경상북도 영천시 시장로 96, 고은스퀘어 (완산동)",,35.96300171,128.94077274
34,주히어링,경상북도 영천시 완산중앙9길 25 (완산동),,35.96284305,128.93865983
35,복지의료기,"경상북도 영천시 금호읍 금호로 88, 4-1호 (태성맨션)",,35.93080886,128.87140690
36,CU 영천청호점,경상북도 영천시 망정2길 6 (망정동),,35.97591867,128.95020444
37,케이컴퍼니,"경상북도 영천시 문화새길 25, A동 1층 11호 (야사동, 문화아파트상가)",,35.97313065,128.94706067
38,GS25 영천창신점,"경상북도 영천시 창신1길 5, 창신타운 (망정동)",,35.98667100,128.95461996
39,토리이엔씨,경상북도 영천시 금호읍 금호로 35-1,,35.92990778,128.86574600
40,주식회사 대산개발,"경상북도 영천시 금호읍 금호로 35-1, 2층 201호",054-337-1101,35.92990778,128.86574600
41,GS25 북영천IC점,경상북도 영천시 천문로 921(도림동),,36.01671637,128.92871936
42,세븐일레븐 도남공단점,경상북도 영천시 칠백로 841-1(도남동),,35.93491503,128.93613126
43,GS25영천시장점,경상북도 영천시 시장로 62-2(완산동),,35.96327045,128.93706092
44,(주)코리아세븐 영천창신대로점,"경상북도 영천시 언하공단로 60, 108호 (망정동)",,35.98651445,128.95704365
45,씨유 영천임고점,경상북도 영천시 임고면 운주로 14,,36.01656622,128.97587252
46,신우유통 영천점,경상북도 영천시 충효로 142(야사동),,35.97576019,128.94442653
47,(주)아성다이소 영천점,경상북도 영천시 천문로 148(금노동),,35.95180546,128.93073121
48,지에스24영천오미점,경상북도 영천시 천문로 696(오미동),,35.99645530,128.92442449
49,이마트24R영천금호점,경상북도 영천시 금호읍 금호시장길 29,,35.93209254,128.87510619
50,이마트24R영천점,경상북도 영천시 충효로 49(문외동),,35.97230427,128.93504810
51,씨유영천점,"경상북도 영천시 시청로 15, 일생빌딩 (문외동)",,35.97194260,128.93796831
52,세븐일레븐 영천석계대로점,경상북도 영천시 고경면 호국로 1457,,35.99638490,129.08565060
53,이마트24영천미소지움점,"경상북도 영천시 완산5길 25(완산동, 완산미소지움)",,35.96689191,128.94321331
54,지에스25영천IC점,경상북도 영천시 영천아이시로 66(봉동),,35.93303345,128.94470288
55,세븐일레븐영천황금점,경상북도 영천시 미륵4길 7(망정동),,35.97257257,128.94895706
56,세븐일레븐영천보건중앙로점,경상북도 영천시 옛군청1길 19(창구동),,35.96794422,128.93187925
57,지에스25영천망정점,"경상북도 영천시 동부로 16, 영천망정주공3.,4단지아파트 상가 (망정동)",,35.97184261,128.94933074
58,씨유 영천도남공단점,경상북도 영천시 봉동1길 29-47(봉동),,35.93122713,128.94408887
59,CU 영천신녕점,경상북도 영천시 신녕면 장수로 1692,,36.04279967,128.78794224
60,씨유다와아이엔씨대창점,경상북도 영천시 대창면 금창로 672-4,,35.87628643,128.89559658
61,이지나라,경상북도 영천시 금호읍 관정2길 10,,35.92970317,128.90767666
62,씨유영천서남점,경상북도 영천시 장수로 36(화룡동),,35.96485981,128.92023404
63,씨유영천문내점,경상북도 영천시 충효로 15(문내동),,35.97065969,128.93154363
64,씨유영천미소지움2차점,"경상북도 영천시 완산5길 111, 상가 401동 102호 (완산동, 영천완산미소지움2차)",,35.96728244,128.94606009
65,씨스페이스영천3사점,경상북도 영천시 고경면 호국로 575-8,,35.98992940,128.99713850
66,지에스25영천청통점,경상북도 영천시 청통면 금송로 968,,35.99125948,128.82330842
67,씨유영천조교점,경상북도 영천시 영화로 328(조교동),,35.97126888,128.95110237
68,씨유금호점,경상북도 영천시 금호읍 금호로 73,,35.93078648,128.86976884
69,씨유금호2호점,경상북도 영천시 금호읍 금호로 144,,35.93216144,128.87735362
70,씨유화산로드점,경상북도 영천시 화산면 장수로 929,,36.01831667,128.85522043
71,씨유영천금호교대점,경상북도 영천시 금호읍 교대용대길 1,,35.93395553,128.87092758
72,지에스25영천호국로점,경상북도 영천시 호국로 28-1(야사동),,35.97201701,128.94132681
73,씨유이편한드림점,"경상북도 영천시 시장로 128, 드림스퀘어 101,102호 (완산동)",,35.96351503,128.94444351
74,세븐일레븐 영천북안터미널점,경상북도 영천시 북안면 운북로 2032-1,,35.91865679,129.00897535
75,세븐일레븐영천보성스타점,"경상북도 영천시 망정1길 138, 보성스타팰리스 (망정동)",,35.97936476,128.95224430
76,모든오피스영천점,경상북도 영천시 영천산단로 349(채신동),,35.91500699,128.94830840
77,씨유영천동부강변점,경상북도 영천시 영천고1길 44(야사동),,35.97135936,128.94444486
78,씨유영천망정원룸점,경상북도 영천시 창신길 118(망정동),,35.98861570,128.95627637
79,지에스25 영천이편한점,"경상북도 영천시 완산9길 16, 상가동 109호 (완산동, e편한세상 센텀스타시티 영천 2블럭)",,35.96196001,128.94455250
80,씨유영천완산별빛점,"경상북도 영천시 통운길 2(완산동, 동부품안애)",,35.96158390,128.93613354
81,지에스25영천휴플러스점,"경상북도 영천시 망정1길 171, 상가동 102호 (야사동, 한신THE휴영천퍼스트)",,35.98262206,128.95108093
82,지에스25 영천문화점,경상북도 영천시 동부로  31-6,,35.97313756,128.94833975
83,씨유 영천코아루점,"경상북도 영천시 창신1길 42, 301동 1호 (망정동, 인터불고코아루아파트)",,35.98952662,128.95510228
84,CU 영남대 영천병원점,"경상북도 영천시 오수1길 5, A동 1층 (오수동)",,35.95832198,128.91297173
85,다바다솔루션,"경상북도 영천시 망정1길 171, 103동 801호 (야사동, 한신THE휴영천퍼스트)",,35.98122109,128.95106273
86,라온 메디컬,경상북도 영천시 임고면 승마휴양림길 22-2,,36.02673453,128.99679430
87,별빛문고. 종합교재사,"경상북도 영천시 최무선로 281-1, 1층 (과전동)",,35.96660644,128.93062023
88,세븐일레븐 영천창신점,경상북도 영천시 언하공단로 98 (망정동),,35.98612404,128.95290507
89,세븐일레븐 영천동길점,경상북도 영천시 신녕면 치산관광길 5,054-334-8842,36.06370635,128.73025590
90,세븐일레븐 영천윤성점,경상북도 영천시 금호읍 원제2길 14,,35.94231875,128.89930063
91,영천옥산,경상북도 영천시 금완로 46 (완산동),,35.96016165,128.93332019
92,3H지압침대 영천센터,"경상북도 영천시 시장로 68-2, 2층 (완산동)",,35.96328464,128.93780985
93,지앤미에스테틱,경상북도 영천시 야사2길 14(야사동),,35.97496239,128.94735113
94,디오가구,경상북도 영천시 천문로 134 (금노동),054-338-8485,35.95034109,128.93055976
95,이오테크,"경상북도 영천시 영화새싹길 1-3, 102호 (교촌동)",,35.96411417,128.92350604
96,(주)옥천당 영천지점,경상북도 영천시 임고면 황강공단길 15,,36.02832551,128.99786773
97,백석이앤아이(주),"경상북도 영천시 금호읍 대구대길 333, 대구대학교 창업보육센터2호관 2층 1207호",,35.89973834,128.85687600
98,주식회사 누리숲,경상북도 영천시 금호읍 금호시장길 10-2,,35.93272762,128.87680819
99,효도의료기,경상북도 영천시 완산로 116 (문외동),,35.97058328,128.93900341
100,영천의료기,경상북도 영천시 호국로 85 (야사동),,35.97470789,128.94663152
101,뉴드림메디칼,경상북도 영천시 청통면 신학길 23,,35.99634363,128.82773039
102,SM,"경상북도 영천시 망정로 20, 2층 (망정동)",,35.97825645,128.95371920
103,독일디지털보청기 시장점,경상북도 영천시 시장로 76-1 (완산동),,35.96327873,128.93863611
104,김정문알로에열린영천지사,경상북도 영천시 시장1길 5(완산동),,35.96379983,128.93563124
105,복음보청기,"경상북도 영천시 시청동길 8 (문외동, 영진궁전빌라)",,35.97243659,128.94067926
106,독일디지털보청기,경상북도 영천시 천문로 277 (금노동),,35.96302734,128.93371326
107,A+ 샛별노인복지센터,경상북도 영천시 동문1길 26 (문내동),,35.96901273,128.93397613
108,영천의료기 보청기 상사,경상북도 영천시 시장로 60-1 (완산동),,35.96323229,128.93683665
109,삼성교재사,경상북도 영천시 천문로 321 (과전동),054-333-5272,35.96643748,128.93139614
110,조은소리독일보청기 신녕점,경상북도 영천시 신녕면 장수로 1719-4,054-332-0110,36.04541003,128.78705810
111,영양칠보석의료기,경상북도 영천시 조흔달길 22-7 (조교동),,35.97639374,128.96146176
112,한국의료기 복지용구사업소,경상북도 영천시 최무선로 183-6 (화룡동),054-332-1012,35.96318144,128.92118098
113,현대오토,경상북도 영천시 최무선로 347 (문외동),054-334-4609,35.97000570,128.93652778
114,스타키보청기 영천점,경상북도 영천시 완산로 52 (완산동),054-336-7599,35.96481857,128.93923638
115,GS25영천타운점,경상북도 영천시 중앙동3길 36 (문외동),054-336-2322,35.97442032,128.93249469
116,영천(상)휴게소 하이샵,"경상북도 영천시 임고면 운주로 791, 영천(익산방향)주유소",,36.05336593,129.04274639
117,심청이 의료기,경상북도 영천시 중앙동1길 44 (문외동),,35.97381070,128.93371734
118,아누바이오,경상북도 영천시 호국로 34-11 (야사동),,35.97225537,128.94217696
119,(주)아성다이소 영천시청점,경상북도 영천시 충효로 56 (문외동),054-335-6017,35.97220435,128.93594151
120,cu영천역점,경상북도 영천시 완산로 5 (완산동),054-332-1538,35.96054998,128.93895335
121,(주)트라이얼 코리아 영천점,경상북도 영천시 장천길 13 (조교동),054-338-3792,35.97038132,128.95183019
122,GS25 영천청솔점,"경상북도 영천시 청솔길 23-6 (망정동, 청솔아파트)",054-333-1982,35.98893064,128.95525124
123,CU영천경제자유구역점,경상북도 영천시 영천산단로 349 (채신동),054-338-1532,35.91500699,128.94830840
124,동산메디칼,경상북도 영천시 중앙동1길 105 (문내동),054-334-5080,35.97484256,128.93135710
125,보은보청기,경상북도 영천시 시장로 48 (완산동),054-334-0200,35.96319574,128.93539670
126,(주)에코플러스,경상북도 영천시 완산로 56 (완산동),,35.96510247,128.93920147
127,영천(하)휴게소 하이샵,경상북도 영천시 임고면 운주로 777,054-338-0062,36.05108684,129.04336049
128,독일보청기,경상북도 영천시 시장로 74(완산동),054-334-2328,35.96331783,128.93829417
129,(주)이스턴메디칼,경상북도 영천시 대창면 한제길 67-59,054-331-8506,35.88223930,128.86722546
130,LG전자 베스트샵 영천점,경상북도 영천시 완산로 56 (완산동),054-333-8019,35.96510247,128.93920147
131,경북메디칼,경상북도 영천시 상록2길 6 (야사동),,35.97334362,128.94329756
132,영천중앙 아가방,경상북도 영천시 시장로 69 (완산동),054-334-2906,35.96365914,128.93806206
133,(주)이마트 영천점,경상북도 영천시 최무선로 83 (오수동),054-330-1234,35.95821768,128.91003152
134,현대의료기,경상북도 영천시 모란2길 38 (야사동),054-334-9986,35.97590303,128.94218436
135,(주)에스원 영천,경상북도 영천시 역전로 7 (완산동),054-338-3112,35.96305586,128.93480321
136,롯데하이마트(주),경상북도 영천시 완산로 62 (완산동),054-337-0111,35.96563094,128.93927811
137,영대의료기,경상북도 영천시 오수1길 8 (오수동),054-331-5562,35.95791909,128.91280517
138,영천고려수지침의료기기,경상북도 영천시 호연정길 33 (성내동),054-332-9860,35.96415908,128.92744761
139,맥섬석지.엠(주),경상북도 영천시 대창면 한제길 44,054-336-9900,35.88081276,128.87265062
140,복음의료기양행,경상북도 영천시 완산로 40 (완산동),054-333-1177,35.96371250,128.93926217
