연번,쉼터명칭,도로명주소,지번주소,시설면적,이용가능인원(명),운영일,시작시간,종료시간,선풍기,에어컨
1,덕성리경로당,경상북도 영천시 금호읍 금호로 56-40 ,경상북도 영천시 금호읍 덕성리 232,154.2,35,"월,화,수,목,금,토,일",09:00,18:00,2,2
2,황정리경로당,경상북도 영천시 금호읍 관황길 49-4 ,경상북도 영천시 금호읍 황정리 412-2,82.6,30,"월,화,수,목,금,토,일",09:00,18:00,3,2
3,오계2리경로당,경상북도 영천시 금호읍 사근달길 75-3 ,경상북도 영천시 금호읍 오계리 545-3,99,35,"월,화,수,목,금,토,일",09:00,18:00,3,2
4,원기리경로당,경상북도 영천시 금호읍 창산길 142-5 ,경상북도 영천시 금호읍 원기리 395,89.3,30,"월,화,수,목,금,토,일",09:00,18:00,2,2
5,우천1리경로당,경상북도 영천시 청통면 청통로 236,경상북도 영천시 청통면 우천리 730,105.71,30,"월,화,수,목,금,토,일",09:00,18:00,3,2
6,치일2리경로당,경상북도 영천시 청통면 부흥길 29,경상북도 영천시 청통면 치일리 583-16,71.85,30,"월,화,수,목,금,토,일",09:00,18:00,2,1
7,계지1리경로당,경상북도 영천시 청통면 망지1길 9,경상북도 영천시 청통면 계지리 120,66,25,"월,화,수,목,금,토,일",09:00,18:00,3,1
8,용천리경로당,경상북도 영천시 청통면 용호길 28,경상북도 영천시 청통면 용천리 391,73.05,30,"월,화,수,목,금,토,일",09:00,18:00,2,2
9,신원리경로당,경상북도 영천시 청통면 거조길 328,경상북도 영천시 청통면 신원리 422-3,90.48,30,"월,화,수,목,금,토,일",09:00,18:00,3,1
10,송천리경로당,경상북도 영천시 청통면 월성길 7-9 ,경상북도 영천시 청통면 송천리 171,99.12,30,"월,화,수,목,금,토,일",09:00,18:00,2,1
11,신학1리경로당,경상북도 영천시 청통면 청통로 632,경상북도 영천시 청통면 신학리 566-8,86.49,30,"월,화,수,목,금,토,일",09:00,18:00,2,1
12,신학2리경로당,경상북도 영천시 청통면 새학길 61,경상북도 영천시 청통면 신학리 124-2,39.3,20,"월,화,수,목,금,토,일",09:00,18:00,2,1
13,치일1리경로당,경상북도 영천시 청통면 치일길 4,경상북도 영천시 청통면 치일리 590-1,105.43,30,"월,화,수,목,금,토,일",09:00,18:00,3,2
14,보성리경로당,경상북도 영천시 청통면 청통로 373,경상북도 영천시 청통면 보성리 145-1,78.93,30,"월,화,수,목,금,토,일",09:00,18:00,1,2
15,화성2리경로당,경상북도 영천시 신녕면 화성중앙길 24-9 ,경상북도 영천시 신녕면 화성리 414-3,315.83,78,"월,화,수,목,금,토,일",09:00,18:00,5,1
16,화성3리경로당,경상북도 영천시 신녕면 화성중앙길 5,경상북도 영천시 신녕면 화성리 872,167,41,"월,화,수,목,금,토,일",09:00,18:00,1,1
17,신녕부녀경로당,경상북도 영천시 신녕면 본관시장길 34,경상북도 영천시 신녕면 화성리 903-9,208.6,52,"월,화,수,목,금,토,일",09:00,18:00,3,1
18,완전2리경로당,경상북도 영천시 신녕면 장수로 1637,경상북도 영천시 신녕면 완전리 853-58,130.17,32,"월,화,수,목,금,토,일",09:00,18:00,2,1
19,신덕2리경로당,경상북도 영천시 신녕면 신정길 27-4 ,경상북도 영천시 신녕면 신덕리 223-1,81.3,20,"월,화,수,목,금,토,일",09:00,18:00,7,1
20,연정1리경로당,경상북도 영천시 신녕면 연정큰길 57,경상북도 영천시 신녕면 연정리 345,419.32,50,"월,화,수,목,금,토,일",09:00,18:00,3,1
21,가천리경로당,경상북도 영천시 신녕면 큰골길 101,경상북도 영천시 신녕면 가천리 183-1,75.56,20,"월,화,수,목,금,토,일",09:00,18:00,2,2
22,화서리경로당,경상북도 영천시 신녕면 화정길 19-7 ,경상북도 영천시 신녕면 화서리 762,51.06,15,"월,화,수,목,금,토,일",09:00,18:00,3,1
23,화남3리경로당,경상북도 영천시 신녕면 화해길 16,경상북도 영천시 신녕면 화남리 955-1,152,38,"월,화,수,목,금,토,일",09:00,18:00,2,1
24,화성1리경로당,경상북도 영천시 신녕면 큰골길 14,경상북도 영천시 신녕면 화성리 485-1,142.9,35,"월,화,수,목,금,토,일",09:00,18:00,3,1
25,용평리경로당,경상북도 영천시 화산면 용평1길 9,경상북도 영천시 화산면 용평리 193-18,93,30,"월,화,수,목,금,토,일",09:00,18:00,2,1
26,유성1리경로당,경상북도 영천시 화산면 유정안길 14-4 ,경상북도 영천시 화산면 유성리 700,78,30,"월,화,수,목,금,토,일",09:00,18:00,2,1
27,석촌리경로당,경상북도 영천시 화산면 석촌2길 60,경상북도 영천시 화산면 석촌리 47-10,38,30,"월,화,수,목,금,토,일",09:00,18:00,1,1
28,대안2리경로당,경상북도 영천시 화산면 대안2길 81-25 ,경상북도 영천시 화산면 대안리 1014-4,71,30,"월,화,수,목,금,토,일",09:00,18:00,1,1
29,당지1리경로당,경상북도 영천시 화산면 섭재골길 24,경상북도 영천시 화산면 당지리 109,99,30,"월,화,수,목,금,토,일",09:00,18:00,1,1
30,당지2리경로당,경상북도 영천시 화산면 산성길 10,경상북도 영천시 화산면 당지리 517-2,86,30,"월,화,수,목,금,토,일",09:00,18:00,1,1
31,당곡리경로당,경상북도 영천시 화산면 당곡길 48-10 ,경상북도 영천시 화산면 당곡리 279,94,30,"월,화,수,목,금,토,일",09:00,18:00,2,1
32,화산2리경로당,경상북도 영천시 화산면 효지길 98-14 ,경상북도 영천시 화산면 화산리 239-2,79,30,"월,화,수,목,금,토,일",09:00,18:00,2,1
33,암기리경로당,경상북도 영천시 화산면 가래실로 162,경상북도 영천시 화산면 암기리 544-1,84,30,"월,화,수,목,금,토,일",09:00,18:00,2,1
34,화산1리경로당,,경상북도 영천시 화산면 화산리 1095-2,92,30,"월,화,수,목,금,토,일",09:00,18:00,2,1
35,부계리경로당,경상북도 영천시 화산면 부계길 115-6 ,경상북도 영천시 화산면 부계리 206-1,60,30,"월,화,수,목,금,토,일",09:00,18:00,1,1
36,부녀회경로당,경상북도 영천시 화산면 장수로 926-7 ,경상북도 영천시 화산면 유성리 600-1,90,40,"월,화,수,목,금,토,일",09:00,18:00,1,1
37,삼부리경로당,경상북도 영천시 화산면 장수로 577-25 ,경상북도 영천시 화산면 삼부리 157,61,30,"월,화,수,목,금,토,일",09:00,18:00,1,1
38,효정1리경로당,경상북도 영천시 화산면 옛서당길 74,경상북도 영천시 화산면 효정리 494-4,75,30,"월,화,수,목,금,토,일",09:00,18:00,2,1
39,대기리경로당,경상북도 영천시 화산면 대암길 112-1 ,경상북도 영천시 화산면 대기리 792,78,30,"월,화,수,목,금,토,일",09:00,18:00,3,1
40,연계2리경로당,경상북도 영천시 화산면 율전길 32-4 ,경상북도 영천시 화산면 연계리 270,83,30,"월,화,수,목,금,토,일",09:00,18:00,1,1
41,유성3리경로당,경상북도 영천시 화산면 유성길 13,경상북도 영천시 화산면 유성리 578-5,98,30,"월,화,수,목,금,토,일",09:00,18:00,1,1
42,덕암2리경로당,경상북도 영천시 화산면 덕암2길 6,경상북도 영천시 화산면 덕암리 239,74,30,"월,화,수,목,금,토,일",09:00,18:00,1,1
43,연계1리경로당,,경상북도 영천시 화산면 연계리 219-37,83,30,"월,화,수,목,금,토,일",09:00,18:00,1,1
44,화산분회경로당,경상북도 영천시 화산면 장수로 921,경상북도 영천시 화산면 유성리 502-9,116,50,"월,화,수,목,금,토,일",09:00,18:00,2,1
45,대안3리경로당,경상북도 영천시 화산면 신정길 12,경상북도 영천시 화산면 대안리 1206-7,86,30,"월,화,수,목,금,토,일",09:00,18:00,1,1
46,덕암1리경로당,경상북도 영천시 화산면 덕암길 12-5 ,경상북도 영천시 화산면 덕암리 548-84,272,30,"월,화,수,목,금,토,일",09:00,18:00,2,1
47,대안1리경로당,경상북도 영천시 화산면 대안1길 45,경상북도 영천시 화산면 대안리 261-1,66,30,"월,화,수,목,금,토,일",09:00,18:00,1,1
48,정각1리경로당,경상북도 영천시 화북면 정각1길 4,경상북도 영천시 화북면 정각리 807,84,21,"월,화,수,목,금,토,일",09:00,18:00,2,1
49,정각2리경로당,경상북도 영천시 화북면 송림길 48-11 ,경상북도 영천시 화북면 정각리 335,50,20,"월,화,수,목,금,토,일",09:00,18:00,2,1
50,횡계리경로당,경상북도 영천시 화북면 별빛로 135,경상북도 영천시 화북면 횡계리 176,99,24,"월,화,수,목,금,토,일",09:00,18:00,3,1
51,공덕리경로당,경상북도 영천시 화북면 공덕길 33-3 ,경상북도 영천시 화북면 공덕리 703,108,27,"월,화,수,목,금,토,일",09:00,18:00,3,1
52,오동리경로당,경상북도 영천시 화북면 오동안길 30,경상북도 영천시 화북면 오산리 1133-1,89,22,"월,화,수,목,금,토,일",09:00,18:00,1,1
53,금호1리경로당,경상북도 영천시 화남면 금호1길 67,경상북도 영천시 화남면 금호리 244,36.36,20,"월,화,수,목,금,토,일",09:00,18:00,1,1
54,대천2리경로당,경상북도 영천시 화남면 대천2길 7,경상북도 영천시 화남면 대천리 425-3,168.21,42,"월,화,수,목,금,토,일",09:00,18:00,1,1
55,삼창1리경로당,경상북도 영천시 화남면 현고길 43,경상북도 영천시 화남면 삼창리 350,122.32,30,"월,화,수,목,금,토,일",09:00,18:00,1,1
56,삼창2리경로당,경상북도 영천시 화남면 천문로 1597-9 ,경상북도 영천시 화남면 삼창리 245,107.36,26,"월,화,수,목,금,토,일",09:00,18:00,1,1
57,삼창3리경로당,경상북도 영천시 화남면 한천길 52-9 ,경상북도 영천시 화남면 삼창리 531-2,99.78,24,"월,화,수,목,금,토,일",09:00,18:00,1,1
58,귀호1리경로당,경상북도 영천시 화남면 귀호1길 131,경상북도 영천시 화남면 귀호리 681-2,78.88,19,"월,화,수,목,금,토,일",09:00,18:00,1,1
59,귀호2리경로당,경상북도 영천시 화남면 귀호2길 71-3 ,경상북도 영천시 화남면 귀호리 141,78.88,19,"월,화,수,목,금,토,일",09:00,18:00,1,1
60,안천1리경로당,경상북도 영천시 화남면 구전로 166,경상북도 영천시 화남면 안천리 565-7,71.58,17,"월,화,수,목,금,토,일",09:00,18:00,1,1
61,안천2리경로당,경상북도 영천시 화남면 능계2길 14,경상북도 영천시 화남면 안천리 863-1,68.1,17,"월,화,수,목,금,토,일",09:00,18:00,1,1
62,온천리경로당,경상북도 영천시 화남면 온천길 46,경상북도 영천시 화남면 온천리 112,71.17,17,"월,화,수,목,금,토,일",09:00,18:00,1,1
63,구전리경로당,경상북도 영천시 화남면 용구길 42,경상북도 영천시 화남면 구전리 121-3,125.11,31,"월,화,수,목,금,토,일",09:00,18:00,1,1
64,월곡2리경로당,경상북도 영천시 화남면 월곡길 244,경상북도 영천시 화남면 월곡리 211-1,80.88,20,"월,화,수,목,금,토,일",09:00,18:00,1,1
65,안천3리경로당(안온경로당),경상북도 영천시 화남면 구전로 460,경상북도 영천시 화남면 안천리 1623,62.31,15,"월,화,수,목,금,토,일",09:00,18:00,1,1
66,사천1리경로당,경상북도 영천시 화남면 천문로 1212,경상북도 영천시 화남면 사천리 517-4,171.12,42,"월,화,수,목,금,토,일",09:00,18:00,1,1
67,죽곡1리경로당,경상북도 영천시 화남면 신선로 301,경상북도 영천시 화남면 죽곡리 657-1,99.46,24,"월,화,수,목,금,토,일",09:00,18:00,1,1
68,용화리경로당,경상북도 영천시 자양면 용화길 122,경상북도 영천시 자양면 용화리 296,78.02,19,"월,화,수,목,금,토,일",09:00,18:00,1,1
69,성곡리경로당,경상북도 영천시 자양면 포은로 1640,경상북도 영천시 자양면 성곡리 산 96-8,133.44,33,"월,화,수,목,금,토,일",09:00,18:00,5,1
70,신방1리(골안)경로당,경상북도 영천시 자양면 신방로 660,경상북도 영천시 자양면 신방리 763-8,133.4,33,"월,화,수,목,금,토,일",09:00,18:00,2,1
71,신방2리(부전)경노당,경상북도 영천시 자양면 상신길 65-4 ,경상북도 영천시 자양면 신방리 526-1,95,24,"월,화,수,목,금,토,일",09:00,18:00,2,1
72,신방2리(상신)경로당,경상북도 영천시 자양면 상신길 215-6 ,경상북도 영천시 자양면 신방리 295,80.3,20,"월,화,수,목,금,토,일",09:00,18:00,2,1
73,용산리경로당,경상북도 영천시 자양면 원각길 53,경상북도 영천시 자양면 용산리 290,99.7,25,"월,화,수,목,금,토,일",09:00,18:00,2,1
74,삼귀리경노당,경상북도 영천시 자양면 귀미길 98,경상북도 영천시 자양면 삼귀리 242-2,82.2,20,"월,화,수,목,금,토,일",09:00,18:00,2,1
75,보현2리(상기)경로당,경상북도 영천시 자양면 상기길 37-8 ,경상북도 영천시 자양면 보현리 1162,105.6,26,"월,화,수,목,금,토,일",09:00,18:00,2,1
76,신방1리(신천)경로당,경상북도 영천시 자양면 신천길 9,경상북도 영천시 자양면 신방리 963-1,66.31,16,"월,화,수,목,금,토,일",09:00,18:00,3,1
77,양항2리경로당,경상북도 영천시 임고면 포은로 488,경상북도 영천시 임고면 양항리 559-6,116,17,"월,화,수,목,금,토,일",09:00,18:00,2,1
78,선원1리경로당,경상북도 영천시 임고면 신선로 684,경상북도 영천시 임고면 선원리 909-189,122,17,"월,화,수,목,금,토,일",09:00,18:00,2,1
79,삼매2리경로당,경상북도 영천시 임고면 삼매매곡길 368,경상북도 영천시 임고면 삼매리 1083-1,68,15,"월,화,수,목,금,토,일",09:00,18:00,2,1
80,평천1리경로당,경상북도 영천시 임고면 평천다산길 30-1 ,경상북도 영천시 임고면 평천리 611,99,15,"월,화,수,목,금,토,일",09:00,18:00,2,1
81,평천3리경로당,경상북도 영천시 임고면 평천다산길 53-34 ,경상북도 영천시 임고면 평천리 366-21,149,15,"월,화,수,목,금,토,일",09:00,18:00,2,1
82,황강리경로당,경상북도 영천시 임고면 황강길 3,경상북도 영천시 임고면 황강리 290,86,15,"월,화,수,목,금,토,일",09:00,18:00,2,1
83,금대(본터)경로당,경상북도 영천시 임고면 운주로 675,경상북도 영천시 임고면 금대리 428-9,67,20,"월,화,수,목,금,토,일",09:00,18:00,2,1
84,우항리경로당,경상북도 영천시 임고면 효자로 348,경상북도 영천시 임고면 우항리 178,87,17,"월,화,수,목,금,토,일",09:00,18:00,2,1
85,매호1리경로당,경상북도 영천시 임고면 매호운천길 10,경상북도 영천시 임고면 매호리 728,83,15,"월,화,수,목,금,토,일",09:00,18:00,2,1
86,매호2리경로당,경상북도 영천시 임고면 포은로 117,경상북도 영천시 임고면 매호리 527,66,20,"월,화,수,목,금,토,일",09:00,18:00,2,1
87,단포교교량하부야외무더위쉼터,,경상북도 영천시 고경면 단포리 187-11,"2,000.00",300,"월,화,수,목,금,토,일",18:00,00:00,,
88,해선경로당,경상북도 영천시 고경면 월천길 26-72 ,경상북도 영천시 고경면 해선리 286-1,89.3,22,"월,화,수,목,금,토,일",09:00,18:00,6,2
89,장척경로당,경상북도 영천시 고경면 장재길 14,경상북도 영천시 고경면 해선리 569,78,20,"월,화,수,목,금,토,일",09:00,18:00,1,1
90,전사1경로당,경상북도 영천시 고경면 앞새일길 15-26 ,경상북도 영천시 고경면 전사리 11,80.6,20,"월,화,수,목,금,토,일",09:00,18:00,1,1
91,전사2경로당,경상북도 영천시 고경면 백소길 66,경상북도 영천시 고경면 전사리 301,78,20,"월,화,수,목,금,토,일",09:00,18:00,2,1
92,동도경로당,경상북도 영천시 고경면 동도길 53,경상북도 영천시 고경면 동도리 357-3,82.38,21,"월,화,수,목,금,토,일",09:00,18:00,1,1
93,차당경로당,,경상북도 영천시 고경면 차당리 687,85.7,21,"월,화,수,목,금,토,일",09:00,18:00,3,1
94,초일리경로당,경상북도 영천시 고경면 초일길 342,경상북도 영천시 고경면 초일리 97,86,20,"월,화,수,목,금,토,일",09:00,18:00,1,1
95,상덕경로당,경상북도 영천시 고경면 방천길 260-7 ,경상북도 영천시 고경면 상덕리 409,98.28,25,"월,화,수,목,금,토,일",09:00,18:00,3,1
96,가수경로당,경상북도 영천시 고경면 가징계길 14-9 ,경상북도 영천시 고경면 가수리 195-5,163.1,41,"월,화,수,목,금,토,일",09:00,18:00,2,1
97,석계경로당,경상북도 영천시 고경면 생계길 6-9 ,경상북도 영천시 고경면 석계리 162,103.47,26,"월,화,수,목,금,토,일",09:00,18:00,1,1
98,오룡1경로당,,경상북도 영천시 고경면 오룡리 1232,75.24,19,"월,화,수,목,금,토,일",09:00,18:00,1,1
99,덕암경로당,경상북도 영천시 고경면 심청길 20,경상북도 영천시 고경면 덕암리 230,107.13,27,"월,화,수,목,금,토,일",09:00,18:00,3,1
100,청정1경로당,경상북도 영천시 고경면 청정길 21-15 ,경상북도 영천시 고경면 청정리 354-5,94.95,24,"월,화,수,목,금,토,일",09:00,18:00,1,1
101,청정2경로당,경상북도 영천시 고경면 용담로 2078,경상북도 영천시 고경면 청정리 571,87.26,22,"월,화,수,목,금,토,일",09:00,18:00,2,1
102,파계경로당,경상북도 영천시 고경면 용담로 1809,경상북도 영천시 고경면 파계리 239,99.42,25,"월,화,수,목,금,토,일",09:00,18:00,2,1
103,칠전경로당,경상북도 영천시 고경면 칠전길 114,경상북도 영천시 고경면 칠전리 84-1,65.52,16,"월,화,수,목,금,토,일",09:00,18:00,1,1
104,논실경로당,경상북도 영천시 고경면 단포1안길 35,경상북도 영천시 고경면 논실리 134,82.6,20,"월,화,수,목,금,토,일",09:00,18:00,1,1
105,분회경로당,경상북도 영천시 고경면 호국로 1065-16 ,경상북도 영천시 고경면 해선리 309-1,82.8,50,"월,화,수,목,금,토,일",09:00,18:00,3,1
106,창하경로당,경상북도 영천시 고경면 호국로 458,경상북도 영천시 고경면 창하리 713-18,64.79,15,"월,화,수,목,금,토,일",09:00,18:00,2,1
107,창상경로당,경상북도 영천시 고경면 효자로 156,경상북도 영천시 고경면 창상리 225-1,113.32,28,"월,화,수,목,금,토,일",09:00,18:00,1,1
108,고도1경로당,경상북도 영천시 고경면 고도길 74,경상북도 영천시 고경면 용전리 377,83.1,21,"월,화,수,목,금,토,일",09:00,18:00,2,1
109,민도경로당,경상북도 영천시 고경면 민도길 116,경상북도 영천시 고경면 고도리 453,69.84,17,"월,화,수,목,금,토,일",09:00,18:00,2,1
110,고도2경로당,경상북도 영천시 고경면 고도길 286-4 ,경상북도 영천시 고경면 고도리 290,95.48,24,"월,화,수,목,금,토,일",09:00,18:00,1,1
111,용전1경로당,경상북도 영천시 고경면 추곡길 151,경상북도 영천시 고경면 용전리 744,82.53,21,"월,화,수,목,금,토,일",09:00,18:00,2,1
112,용전2경로당,경상북도 영천시 고경면 추곡길 255,경상북도 영천시 고경면 용전리 1277,83.8,15,"월,화,수,목,금,토,일",09:00,18:00,3,1
113,도암1경로당,경상북도 영천시 고경면 호국로 674-11 ,경상북도 영천시 고경면 도암리 497-1,16.53,20,"월,화,수,목,금,토,일",09:00,18:00,2,1
114,상리경로당,경상북도 영천시 고경면 배골길 93-4 ,경상북도 영천시 고경면 상리리 252,136.7,34,"월,화,수,목,금,토,일",09:00,18:00,1,1
115,삼산경로당,경상북도 영천시 고경면 모시밭길 66-1 ,경상북도 영천시 고경면 삼산리 275,75,15,"월,화,수,목,금,토,일",09:00,18:00,2,1
116,원곡경로당,경상북도 영천시 북안면 새불길 12,경상북도 영천시 북안면 명주리 375,361.28,80,"월,화,수,목,금,토,일",09:00,18:00,3,1
117,신대리경로당,경상북도 영천시 북안면 두리봉길 9-4 ,경상북도 영천시 북안면 신대리 354,49.5,40,"월,화,수,목,금,토,일",09:00,18:00,3,1
118,도천1리경로당,경상북도 영천시 북안면 연당길 1,경상북도 영천시 북안면 도천리 520-1,83.61,50,"월,화,수,목,금,토,일",09:00,18:00,3,1
119,자포리경로당,경상북도 영천시 북안면 송학길 10-2 ,경상북도 영천시 북안면 자포리 374-1,113.16,50,"월,화,수,목,금,토,일",09:00,18:00,3,1
120,송포1리경로당,경상북도 영천시 북안면 엿들길 10-8 ,경상북도 영천시 북안면 송포리 775-5,35,35,"월,화,수,목,금,토,일",09:00,18:00,3,1
