연번,쉼터명칭,도로명주소,지번주소,시설면적,이용가능인원(명),운영일,시작시간,종료시간,선풍기,에어컨
121,당1리경로당,경상북도 영천시 북안면 당리길 56,경상북도 영천시 북안면 당리 210-2,101.52,40,"월,화,수,목,금,토,일",09:00,18:00,5,1
122,당2리경로당,경상북도 영천시 북안면 중이길 12,경상북도 영천시 북안면 당리 715-1,62.24,20,"월,화,수,목,금,토,일",09:00,18:00,1,1
123,북리경로당,경상북도 영천시 북안면 금창로 1697,경상북도 영천시 북안면 북리 324,87.04,70,"월,화,수,목,금,토,일",09:00,18:00,2,1
124,명주리경로당,경상북도 영천시 북안면 새불길 3,경상북도 영천시 북안면 명주리 573-36,125,60,"월,화,수,목,금,토,일",09:00,18:00,3,1
125,반정2리경로당,경상북도 영천시 북안면 반정2길 62,경상북도 영천시 북안면 반정리 1243-6,20,20,"월,화,수,목,금,토,일",09:00,18:00,2,1
126,반정3리경로당,경상북도 영천시 북안면 돌할매로 41-26 ,경상북도 영천시 북안면 반정리 56-5,25,25,"월,화,수,목,금,토,일",09:00,18:00,4,1
127,송포2리경로당,경상북도 영천시 북안면 송포길 68,경상북도 영천시 북안면 송포리 248-9,55,55,"월,화,수,목,금,토,일",09:00,18:00,4,1
128,유하리경로당,경상북도 영천시 북안면 유하큰길 76,경상북도 영천시 북안면 유하리 88-1,55,55,"월,화,수,목,금,토,일",09:00,18:00,3,1
129,유상1리경로당,경상북도 영천시 북안면 유상길 249-21 ,경상북도 영천시 북안면 유상리 805,30,30,"월,화,수,목,금,토",09:00,18:00,4,1
130,유상2리경로당,경상북도 영천시 북안면 유상길 373,경상북도 영천시 북안면 유상리 142,30,30,"월,화,수,목,금,토,일",09:00,18:00,3,1
131,도천2리경로당,경상북도 영천시 북안면 연당길 65,경상북도 영천시 북안면 도천리 167,26.4,30,"월,화,수,목,금,토,일",09:00,18:00,3,1
132,용계(새불)경로당,경상북도 영천시 북안면 새불길 55-81 ,경상북도 영천시 북안면 용계리 424-4,96.66,20,"월,화,수,목,금,토,일",09:00,18:00,2,1
133,신리리경로당,경상북도 영천시 북안면 운북로 1671,경상북도 영천시 북안면 신리리 320-1,82.5,50,"월,화,수,목,금,토,일",09:00,18:00,1,1
134,효리경로당,경상북도 영천시 북안면 효동길 67,경상북도 영천시 북안면 효리 198-1,91,30,"월,화,수,목,금,토,일",09:00,18:00,2,1
135,옥천리경로당,경상북도 영천시 북안면 옥천길 26,경상북도 영천시 북안면 옥천리 152-1,60.96,40,"월,화,수,목,금,토,일",09:00,18:00,1,1
136,서당리경로당,경상북도 영천시 북안면 북안서당길 85-4 ,경상북도 영천시 북안면 서당리 166,67,30,"월,화,수,목,금,토,일",09:00,18:00,1,1
137,고지1리경로당,경상북도 영천시 북안면 운북로 1858,경상북도 영천시 북안면 고지리 351-7,67,70,"월,화,수,목,금,토,일",09:00,18:00,3,1
138,분회경로당,경상북도 영천시 북안면 운북로 2028-3 ,경상북도 영천시 북안면 임포리 267-1,259.42,30,"월,화,수,목,금,토,일",09:00,18:00,5,1
139,임포1리경로당,경상북도 영천시 북안면 팔암길 14,경상북도 영천시 북안면 임포리 290,90.77,20,"월,화,수,목,금,토,일",09:00,18:00,3,1
140,임포범진@경로당,경상북도 영천시 북안면 임포역길 84,경상북도 영천시 북안면 임포리 244,96.81,20,"월,화,수,목,금,토,일",09:00,18:00,3,1
141,임포2리경로당,경상북도 영천시 북안면 임포역길 72,경상북도 영천시 북안면 임포리 228-1,104.54,70,"월,화,수,목,금,토,일",09:00,18:00,3,1
142,신촌리경로당,경상북도 영천시 북안면 돈암길 309,경상북도 영천시 북안면 신촌리 268,93,15,"월,화,수,목,금,토,일",09:00,18:00,3,1
143,원당리경로당,경상북도 영천시 북안면 대원당길 88,경상북도 영천시 북안면 원당리 200,19.8,20,"월,화,수,목,금,토,일",09:00,18:00,3,1
144,내포리경로당,경상북도 영천시 북안면 돌할매로 127-10 ,경상북도 영천시 북안면 내포리 65,49.5,20,"월,화,수,목,금,토,일",09:00,18:00,2,1
145,반정1리경로당,경상북도 영천시 북안면 반정1길 34,경상북도 영천시 북안면 반정리 583-1,60,60,"월,화,수,목,금,토,일",09:00,18:00,4,1
146,상리경로당,경상북도 영천시 북안면 운북로 1194,경상북도 영천시 북안면 상리 350-1,92.07,50,"월,화,수,목,금,토,일",09:00,18:00,3,2
147,조곡리경로당,경상북도 영천시 대창면 조곡안길 90,경상북도 영천시 대창면 조곡리 782-1,90,35,"월,화,수,목,금,토,일",09:00,18:00,2,1
148,구지리경로당,경상북도 영천시 대창면 용대로 804-1 ,경상북도 영천시 대창면 구지리 561-5,133,70,"월,화,수,목,금,토,일",09:00,18:00,2,1
149,사리1리경로당,경상북도 영천시 대창면 선진길 43,경상북도 영천시 대창면 사리리 146,85,30,"월,화,수,목,금,토,일",09:00,18:00,2,1
150,대창면여자경로당,경상북도 영천시 대창면 대창시장길 19-3 ,경상북도 영천시 대창면 대창리 1076-11,173,80,"월,화,수,목,금,토,일",09:00,18:00,2,1
151,대창면분회경로당,경상북도 영천시 대창면 금창로 702-8 ,경상북도 영천시 대창면 대창리 1076-106,79,50,"월,화,수,목,금,토,일",09:00,18:00,5,1
152,대창1리경로당,경상북도 영천시 대창면 대창시장길 19-3 ,경상북도 영천시 대창면 대창리 1076-11,206,30,"월,화,수,목,금,토,일",09:00,18:00,3,1
153,대창2리경로당,경상북도 영천시 대창면 금창로 598-1 ,경상북도 영천시 대창면 대창리 694-5,98,80,"월,화,수,목,금,토,일",09:00,18:00,3,1
154,신당경로당,경상북도 영천시 대창면 신당길 61-5 ,경상북도 영천시 대창면 대창리 539-2,74,50,"월,화,수,목,금,토,일",09:00,18:00,3,1
155,강회리경로당,경상북도 영천시 대창면 강회2길 23-26 ,경상북도 영천시 대창면 강회리 196,65,50,"월,화,수,목,금,토,일",09:00,18:00,2,1
156,병암리경로당,경상북도 영천시 대창면 병암길 91,경상북도 영천시 대창면 병암리 421,66,52,"월,화,수,목,금,토,일",09:00,18:00,2,1
157,건지발경로당,경상북도 영천시 대창면 금창로 785,경상북도 영천시 대창면 조곡리 247,145,30,"월,화,수,목,금,토,일",09:00,18:00,2,1
158,어방리경로당,경상북도 영천시 대창면 효원길 9-3 ,경상북도 영천시 대창면 어방리 274,89,26,"월,화,수,목,금,토,일",09:00,18:00,3,1
159,장곡경로당,경상북도 영천시 대창면 장곡길 154,경상북도 영천시 대창면 구지리 1245,71,20,"월,화,수,목,금,토,일",09:00,18:00,2,1
160,강회마음경로당,경상북도 영천시 대창면 강회3길 70,경상북도 영천시 대창면 강회리 432-1,71,21,"월,화,수,목,금,토,일",09:00,18:00,2,1
161,직천경로당,경상북도 영천시 대창면 정동마을길 5,경상북도 영천시 대창면 직천리 367-1,90,35,"월,화,수,목,금,토,일",09:00,18:00,5,1
162,동부지역경로당,경상북도 영천시 대창면 임하길 6,경상북도 영천시 대창면 운천리 515-3,99,80,"월,화,수,목,금,토,일",09:00,18:00,2,1
163,운천2리경로당,경상북도 영천시 대창면 운잠길 23,경상북도 영천시 대창면 운천리 861-1,87,30,"월,화,수,목,금,토,일",09:00,18:00,2,1
164,오길1리경로당,경상북도 영천시 대창면 선진길 172,경상북도 영천시 대창면 사리리 40,89,40,"월,화,수,목,금,토,일",09:00,18:00,2,1
165,오길2길경로당,경상북도 영천시 대창면 채산길 182,경상북도 영천시 대창면 오길리 82,96,30,"월,화,수,목,금,토,일",09:00,18:00,3,1
166,용호리경로당,경상북도 영천시 대창면 영지길 325-10 ,경상북도 영천시 대창면 용호리 536,86,42,"월,화,수,목,금,토,일",09:00,18:00,2,1
167,신광1리경로당,경상북도 영천시 대창면 계상길 13-2 ,경상북도 영천시 대창면 신광리 161,177,41,"월,화,수,목,금,토,일",09:00,18:00,2,1
168,신광효일경로당,경상북도 영천시 대창면 효일길 113,경상북도 영천시 대창면 신광리 988,70,30,"월,화,수,목,금,토,일",09:00,18:00,3,1
169,신광2리경로당,경상북도 영천시 대창면 영지길 109-1 ,경상북도 영천시 대창면 신광리 709-5,82,40,"월,화,수,목,금,토,일",09:00,18:00,2,1
170,영화교교량하부야외무더위쉼터,경상북도 영천시 장천1길 18-3 ,경상북도 영천시 조교동 883-1,"2,500.00",379,"월,화,수,목,금,토,일",18:00,00:00,,
171,우방아파트경로당,경상북도 영천시 동부로 15,경상북도 영천시 야사동 202,99,64,"월,화,수,목,금,토,일",09:00,18:00,2,1
172,4통경로당,경상북도 영천시 야사1길 11,경상북도 영천시 야사동 183-5,82.5,78,"월,화,수,목,금,토,일",09:00,18:00,2,1
173,조교경로당,경상북도 영천시 조흔달1길 36,경상북도 영천시 조교동 381,33,26,"월,화,수,목,금,토,일",09:00,18:00,3,1
174,장천경로당,경상북도 영천시 장천1길 40,경상북도 영천시 조교동 883-171,66,32,"월,화,수,목,금,토,일",09:00,18:00,2,1
175,망정경로당,경상북도 영천시 망정3길 27,경상북도 영천시 망정동 214,99,78,"월,화,수,목,금,토,일",09:00,18:00,2,1
176,야사경로당,경상북도 영천시 상록4길 82,경상북도 영천시 야사동 166-10,33,29,"월,화,수,목,금,토,일",09:00,18:00,1,1
177,안야사경로당,경상북도 영천시 안야사길 57,경상북도 영천시 야사동 429-2,66,42,"월,화,수,목,금,토,일",09:00,18:00,1,1
178,문화경로당,경상북도 영천시 문화새길 7,경상북도 영천시 야사동 186-4,33,25,"월,화,수,목,금,토,일",09:00,18:00,2,1
179,야사주공2차경로당,경상북도 영천시 상록4길 31,경상북도 영천시 야사동 311,49.5,46,"월,화,수,목,금,토,일",09:00,18:00,2,1
180,언하1동경로당,경상북도 영천시 새미길 121,경상북도 영천시 언하동 146-1,66,47,"월,화,수,목,금,토,일",09:00,18:00,1,1
181,신기경로당,,경상북도 영천시 신기동 산 5-11,66,49,"월,화,수,목,금,토,일",09:00,18:00,2,1
182,17통경로당,경상북도 영천시 미륵3길 27,경상북도 영천시 망정동 151-9,66,43,"월,화,수,목,금,토,일",09:00,18:00,2,1
183,금성아파트경로당,경상북도 영천시 망정1길 95,경상북도 영천시 야사동 92,66,26,"월,화,수,목,금,토,일",09:00,18:00,2,1
184,상록7길경로당,경상북도 영천시 상록7길 20,경상북도 영천시 야사동 335-38,82.5,45,"월,화,수,목,금,토,일",09:00,18:00,2,1
185,청구2차경로당,경상북도 영천시 모란1길 16,경상북도 영천시 야사동 350-1,66,82,"월,화,수,목,금,토,일",09:00,18:00,2,1
186,야사주공4차경로당,경상북도 영천시 충효로 147,경상북도 영천시 야사동 120,99,50,"월,화,수,목,금,토,일",09:00,18:00,2,1
187,야사주공5차경로당,경상북도 영천시 충효로 147,경상북도 영천시 야사동 120,66,61,"월,화,수,목,금,토,일",09:00,18:00,2,1
188,망정주공1차경로당,경상북도 영천시 동부로 40,경상북도 영천시 망정동 129,66,51,"월,화,수,목,금,토,일",09:00,18:00,2,1
189,망정주공2차경로당,경상북도 영천시 동부로 40,경상북도 영천시 망정동 129,33,59,"월,화,수,목,금,토,일",09:00,18:00,2,1
190,창신아파트경로당,경상북도 영천시 창신1길 21,경상북도 영천시 망정동 471,99,142,"월,화,수,목,금,토,일",09:00,18:00,2,1
191,망정주공3차경로당,경상북도 영천시 동부로 14,경상북도 영천시 망정동 116,66,62,"월,화,수,목,금,토,일",09:00,18:00,2,1
192,망정주공4차경로당,경상북도 영천시 동부로 14,경상북도 영천시 망정동 116,66,41,"월,화,수,목,금,토,일",09:00,18:00,2,1
193,번영2길경로당,경상북도 영천시 창신1길 22,경상북도 영천시 망정동 462,66,45,"월,화,수,목,금,토,일",09:00,18:00,2,1
194,동남경로당,경상북도 영천시 영천고1길 85-5 ,경상북도 영천시 야사동 216,85.8,84,"월,화,수,목,금,토,일",09:00,18:00,2,1
195,영천시청시민의쉼터3,경상북도 영천시 시청로 16,경상북도 영천시 문외동 27,3,4,"월,화,수,목,금,토,일",18:00,00:00,,
196,영천시청시민의쉼터2,경상북도 영천시 시청로 16,경상북도 영천시 문외동 27,3,4,"월,화,수,목,금,토,일",18:00,00:00,,
197,영천시청시민의쉼터1,경상북도 영천시 시청로 16,경상북도 영천시 문외동 27,3,4,"월,화,수,목,금,토,일",18:00,00:00,,
198,문외동경로당,경상북도 영천시 동문길 114-6 ,경상북도 영천시 문외동 178-2,66,19,"월,화,수,목,금,토,일",09:00,18:00,1,1
199,문내동경로당,경상북도 영천시 옛군청2길 27-35 ,경상북도 영천시 문내동 69,80.64,45,"월,화,수,목,금,토,일",09:00,18:00,1,1
200,창구동경로당,경상북도 영천시 법원길 80,경상북도 영천시 창구동 149-1,95.8,32,"월,화,수,목,금,토,일",09:00,18:00,1,1
201,과전동경로당,경상북도 영천시 창대서원2길 32,경상북도 영천시 과전동 25,48.93,20,"월,화,수,목,금,토,일",09:00,18:00,1,1
202,신우맨션경로당,경상북도 영천시 상록4길 5,경상북도 영천시 문외동 49-1,130,25,"월,화,수,목,금,토,일",09:00,18:00,2,1
203,무궁화타운경로당,경상북도 영천시 충효로 97,경상북도 영천시 문외동 49,98.1,80,"월,화,수,목,금,토,일",09:00,18:00,4,2
204,영진궁전경로당,경상북도 영천시 호국로 23,경상북도 영천시 문외동 49-2,85.42,25,"월,화,수,목,금,토,일",09:00,18:00,2,1
205,도림2동경로당,경상북도 영천시 선창길 11,경상북도 영천시 도림동 709-1,70.2,46,"월,화,수,목,금,토,일",09:00,18:00,2,1
206,매산2동경로당,경상북도 영천시 갈마일길 119-4 ,경상북도 영천시 매산동 772-1,96.78,39,"월,화,수,목,금,토,일",09:00,18:00,2,2
207,매산하명경로당,경상북도 영천시 하명길 54,경상북도 영천시 매산동 435,72.54,17,"월,화,수,목,금,토,일",09:00,18:00,2,1
208,중앙부인경로당,경상북도 영천시 동문길 114-6 ,경상북도 영천시 문외동 178-2,66.15,42,"월,화,수,목,금,토,일",09:00,18:00,1,1
209,창구부인경로당,경상북도 영천시 법원길 80,경상북도 영천시 창구동 149-1,169,38,"월,화,수,목,금,토,일",09:00,18:00,1,1
210,과전부인경로당,경상북도 영천시 창대서원2길 32,경상북도 영천시 과전동 25,96,30,"월,화,수,목,금,토,일",09:00,18:00,1,1
211,교촌경로당,경상북도 영천시 향교길 15-3 ,경상북도 영천시 교촌동 85,48,40,"월,화,수,목,금,토,일",09:00,18:00,2,1
212,성내경로당,경상북도 영천시 최무선로 247,경상북도 영천시 성내동 121,101,75,"월,화,수,목,금,토,일",09:00,18:00,2,2
213,영서교동경로당,경상북도 영천시 나루터길 11,경상북도 영천시 성내동 205-2,107,50,"월,화,수,목,금,토,일",09:00,18:00,2,1
214,오수경로당,경상북도 영천시 오수2길 43,경상북도 영천시 오수동 138-3,98,60,"월,화,수,목,금,토,일",09:00,18:00,2,1
215,영천농원경로당,경상북도 영천시 유봉길 64,경상북도 영천시 오수동 392-3,67,45,"월,화,수,목,금,토,일",09:00,18:00,2,1
216,녹원경로당,경상북도 영천시 상아탑길 13,경상북도 영천시 화룡동 181-7,42,39,"월,화,수,목,금,토,일",09:00,18:00,2,1
217,대전1경로당,경상북도 영천시 대전길 121,경상북도 영천시 대전동 365-1,91,64,"월,화,수,목,금,토,일",09:00,18:00,2,1
218,대전2경로당,경상북도 영천시 대전길 37,경상북도 영천시 대전동 595-4,81,36,"월,화,수,목,금,토,일",09:00,18:00,2,1
219,양지맨션경로당,경상북도 영천시 상아탑길 7-6 ,경상북도 영천시 화룡동 182-3,50,22,"월,화,수,목,금,토,일",09:00,18:00,2,1
220,화룡경로당,경상북도 영천시 음지길 44,경상북도 영천시 화룡동 740-2,165,45,"월,화,수,목,금,토,일",09:00,18:00,2,1
221,서산경로당,경상북도 영천시 서운길 179,경상북도 영천시 서산동 905-1,94,38,"월,화,수,목,금,토,일",09:00,18:00,2,1
222,쌍계경로당,,경상북도 영천시 쌍계동 265-7,79,40,"월,화,수,목,금,토,일",09:00,18:00,2,1
223,태평스카이경로당,경상북도 영천시 장수로 10,경상북도 영천시 화룡동 201,222,20,"월,화,수,목,금,토,일",09:00,18:00,2,1
224,영동교교량하부야외무더위쉼터,,경상북도 영천시 완산동 1038-1,"4,800.00",728,"월,화,수,목,금,토,일",18:00,00:00,,
225,8.9통경로당,,경상북도 영천시 완산동 906-34,69,17,"월,화,수,목,금,토,일",09:00,18:00,2,1
226,남부경로당,경상북도 영천시 강남2길 7,경상북도 영천시 완산동 1062-9,35,8,"월,화,수,목,금,토,일",09:00,18:00,2,1
227,1통경로당,경상북도 영천시 바깥완산길 89,경상북도 영천시 완산동 565,42,15,"월,화,수,목,금,토,일",09:00,18:00,2,1
228,2통경로당,경상북도 영천시 안완산길 81,경상북도 영천시 완산동 438-1,39,15,"월,화,수,목,금,토,일",09:00,18:00,3,1
229,3통경로당,,경상북도 영천시 완산동 966-16,59,15,"월,화,수,목,금,토,일",09:00,18:00,2,1
230,완산청구하이츠경로당,경상북도 영천시 강남길 33,경상북도 영천시 완산동 988-4,50,15,"월,화,수,목,금,토,일",09:00,18:00,2,2
231,완산궁전경로당,경상북도 영천시 완산6길 29,경상북도 영천시 완산동 1009-1,80,20,"월,화,수,목,금,토,일",09:00,18:00,2,1
232,10통경로당,경상북도 영천시 구읍2길 19,경상북도 영천시 완산동 1089-16,52,15,"월,화,수,목,금,토,일",09:00,18:00,2,1
233,7통경로당,경상북도 영천시 약전1길 17,경상북도 영천시 완산동 938-10,84,21,"월,화,수,목,금,토,일",09:00,18:00,2,1
234,도동1통경로당,경상북도 영천시 도동구역길 37,경상북도 영천시 도동 542-10,71.83,25,"월,화,수,목,금,토,일",09:00,18:00,3,1
235,도동2통경로당,경상북도 영천시 상산길 32,경상북도 영천시 도동 519-3,81.59,30,"월,화,수,목,금,토,일",09:00,18:00,3,1
236,남부동복지회관,경상북도 영천시 쇠늘안길 5,경상북도 영천시 도동 178-10,715.68,250,"월,화,수,목,금,토,일",09:00,18:00,2,3
237,"금노5,6경로당",경상북도 영천시 담안4길 42-10 ,경상북도 영천시 금노동 540-9,67.64,25,"월,화,수,목,금,토,일",09:00,18:00,1,1
238,금노4경로당,경상북도 영천시 담안1길 29,경상북도 영천시 금노동 556-7,159,50,"월,화,수,목,금,토,일",09:00,18:00,2,1
239,금노8경로당,경상북도 영천시 천문로 208-13 ,경상북도 영천시 금노동 372-51,74.9,30,"월,화,수,목,금,토,일",09:00,18:00,5,1
240,범어경로당,경상북도 영천시 범어2길 187,경상북도 영천시 범어동 445-1,98.96,40,"월,화,수,목,금,토,일",09:00,18:00,1,1
241,범어진옥경로당,경상북도 영천시 범어2길 3-3 ,경상북도 영천시 범어동 765-1,84.81,30,"월,화,수,목,금,토,일",09:00,18:00,3,1
242,작산경로당,경상북도 영천시 한방로 227-139 ,경상북도 영천시 작산동 197-3,97.85,35,"월,화,수,목,금,토,일",09:00,18:00,4,1
243,봉동경로당,경상북도 영천시 봉동2길 23-60 ,경상북도 영천시 봉동 673-11,77.1,30,"월,화,수,목,금,토,일",09:00,18:00,2,1
244,도남경로당,경상북도 영천시 칠백로 843,경상북도 영천시 도남동 559,90.64,35,"월,화,수,목,금,토,일",09:00,18:00,2,1
245,도남윗마을경로당,경상북도 영천시 도남길 40,경상북도 영천시 도남동 66,76.02,30,"월,화,수,목,금,토,일",09:00,18:00,2,1
246,본촌경로당,경상북도 영천시 예실큰길 4-15 ,경상북도 영천시 본촌동 639,23.6,30,"월,화,수,목,금,토,일",09:00,18:00,2,1
247,채신경로당,경상북도 영천시 영천산단로 485,경상북도 영천시 채신동 503,99.81,80,"월,화,수,목,금,토,일",09:00,18:00,2,1
248,괴연경로당,경상북도 영천시 신성일로 474,경상북도 영천시 괴연동 320-1,40.5,70,"월,화,수,목,금,토,일",09:00,18:00,2,1
249,작산11통경로당,경상북도 영천시 한방로 223-4 ,경상북도 영천시 작산동 154-1,39.12,25,"월,화,수,목,금,토,일",09:00,18:00,2,1

